"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"219"	"60"	""	"273"	""	""	"24"	""	""	""	"112"	""	"18"	""	""	""	""	"11"	""	""	""	""	"9"	""	""	""	""	"12"	""	""	""	""	""	"7"	""	""	"32"	""	""	"498"	""	""	""	"0"	""	""	""	"498"	""	""	""	""	""	""
"220"	"61"	""	"300"	""	""	"15"	""	""	""	"184"	""	"16"	""	""	""	""	"9"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	"13"	""	""	"554"	""	""	""	"0"	""	""	""	"554"	""	""	""	""	""	""
"221"	"Total"	""	"2820"	""	""	"204"	""	""	""	"2266"	""	"233"	""	""	""	""	"84"	""	""	""	""	"126"	""	""	""	""	"101"	""	""	""	""	""	"78"	""	""	"230"	""	""	"6142"	""	""	""	"0"	""	""	""	"6142"	""	""	""	""	""	""
"222"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"62"	""	"183"	""	""	"28"	""	""	""	"121"	""	"9"	""	""	""	""	"5"	""	""	""	""	"15"	""	""	""	""	"10"	""	""	""	""	"10"	""	""	""	"45"	""	""	"426"	""	""	""	"0"	""	""	""	"426"	""	""	""	""	""	""
"251"	"63"	""	"262"	""	""	"15"	""	""	""	"44"	""	"18"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"13"	""	""	"374"	""	""	""	"0"	""	""	""	"374"	""	""	""	""	""	""
"252"	"64"	""	"119"	""	""	"7"	""	""	""	"163"	""	"67"	""	""	""	""	"15"	""	""	""	""	"12"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"13"	""	""	"405"	""	""	""	"0"	""	""	""	"405"	""	""	""	""	""	""
"253"	"65"	""	"140"	""	""	"23"	""	""	""	"167"	""	"36"	""	""	""	""	"12"	""	""	""	""	"14"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"9"	""	""	"422"	""	""	""	"0"	""	""	""	"422"	""	""	""	""	""	""
"254"	"66"	""	"309"	""	""	"22"	""	""	""	"81"	""	"69"	""	""	""	""	"14"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	"15"	""	""	"539"	""	""	""	"0"	""	""	""	"539"	""	""	""	""	""	""
"255"	"67"	""	"233"	""	""	"14"	""	""	""	"84"	""	"48"	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	""	"15"	""	""	""	""	"18"	""	""	""	"28"	""	""	"456"	""	""	""	"0"	""	""	""	"456"	""	""	""	""	""	""
"256"	"68"	""	"185"	""	""	"12"	""	""	""	"40"	""	"20"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"7"	""	""	"285"	""	""	""	"0"	""	""	""	"285"	""	""	""	""	""	""
"257"	"69"	""	"13"	""	""	"4"	""	""	""	"89"	""	"166"	""	""	""	""	"34"	""	""	""	""	"18"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"14"	""	""	"353"	""	""	""	"0"	""	""	""	"353"	""	""	""	""	""	""
"258"	"70"	""	"30"	""	""	"3"	""	""	""	"15"	""	"418"	""	""	""	""	"34"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"2"	""	""	"514"	""	""	""	"0"	""	""	""	"514"	""	""	""	""	""	""
"259"	"71"	""	"13"	""	""	"5"	""	""	""	"7"	""	"115"	""	""	""	""	"17"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"7"	""	""	"170"	""	""	""	"0"	""	""	""	"170"	""	""	""	""	""	""
"260"	"72"	""	"30"	""	""	"9"	""	""	""	"38"	""	"223"	""	""	""	""	"32"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"4"	""	""	"348"	""	""	""	"0"	""	""	""	"348"	""	""	""	""	""	""
"261"	"73"	""	"17"	""	""	"9"	""	""	""	"245"	""	"115"	""	""	""	""	"31"	""	""	""	""	"13"	""	""	""	""	"18"	""	""	""	""	"14"	""	""	""	"24"	""	""	"486"	""	""	""	"0"	""	""	""	"486"	""	""	""	""	""	""
"262"	"74"	""	"217"	""	""	"23"	""	""	""	"29"	""	"130"	""	""	""	""	"26"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	"12"	""	""	"457"	""	""	""	"0"	""	""	""	"457"	""	""	""	""	""	""
"263"	"75"	""	"93"	""	""	"19"	""	""	""	"278"	""	"39"	""	""	""	""	"16"	""	""	""	""	"13"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	"8"	""	""	"483"	""	""	""	"0"	""	""	""	"483"	""	""	""	""	""	""
"264"	"Total"	""	"1844"	""	""	"193"	""	""	""	"1401"	""	"1473"	""	""	""	""	"250"	""	""	""	""	"140"	""	""	""	""	"97"	""	""	""	""	"119"	""	""	""	"201"	""	""	"5718"	""	""	""	"0"	""	""	""	"5718"	""	""	""	""	""	""
"265"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"76"	""	"45"	""	""	"132"	""	""	""	"200"	""	"16"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	"9"	""	""	"424"	""	""	""	"0"	""	""	""	"424"	""	""	""	""	""	""
"294"	"77"	""	"120"	""	""	"9"	""	""	""	"10"	""	"12"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"3"	""	""	"159"	""	""	""	"0"	""	""	""	"159"	""	""	""	""	""	""
"295"	"78"	""	"262"	""	""	"25"	""	""	""	"134"	""	"10"	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	"37"	""	""	"503"	""	""	""	"0"	""	""	""	"503"	""	""	""	""	""	""
"296"	"79"	""	"222"	""	""	"8"	""	""	""	"129"	""	"15"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	""	"14"	""	""	"14"	""	""	"422"	""	""	""	"0"	""	""	""	"422"	""	""	""	""	""	""
"297"	"80"	""	"237"	""	""	"11"	""	""	""	"181"	""	"5"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	"7"	""	""	"9"	""	""	"464"	""	""	""	"0"	""	""	""	"464"	""	""	""	""	""	""
"298"	"81"	""	"207"	""	""	"24"	""	""	""	"141"	""	"14"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	"14"	""	""	"423"	""	""	""	"0"	""	""	""	"423"	""	""	""	""	""	""
"299"	"82"	""	"38"	""	""	"1"	""	""	""	"158"	""	"5"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	"1"	""	""	"215"	""	""	""	"0"	""	""	""	"215"	""	""	""	""	""	""
"300"	"83"	""	"207"	""	""	"23"	""	""	""	"121"	""	"16"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	"8"	""	""	"392"	""	""	""	"0"	""	""	""	"392"	""	""	""	""	""	""
"301"	"84"	""	"129"	""	""	"16"	""	""	""	"125"	""	"9"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	"8"	""	""	"15"	""	""	"321"	""	""	""	"0"	""	""	""	"321"	""	""	""	""	""	""
"302"	"85"	""	"163"	""	""	"8"	""	""	""	"138"	""	"9"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	"2"	""	""	"336"	""	""	""	"0"	""	""	""	"336"	""	""	""	""	""	""
"303"	"86"	""	"111"	""	""	"14"	""	""	""	"104"	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	"5"	""	""	"240"	""	""	""	"0"	""	""	""	"240"	""	""	""	""	""	""
"304"	"87"	""	"151"	""	""	"13"	""	""	""	"293"	""	"14"	""	""	""	""	"4"	""	""	""	""	"14"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	"3"	""	""	"499"	""	""	""	"0"	""	""	""	"499"	""	""	""	""	""	""
"305"	"88"	""	"107"	""	""	"10"	""	""	""	"111"	""	"9"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	"12"	""	""	"271"	""	""	""	"0"	""	""	""	"271"	""	""	""	""	""	""
"306"	"89"	""	"200"	""	""	"15"	""	""	""	"178"	""	"11"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	"11"	""	""	"438"	""	""	""	"0"	""	""	""	"438"	""	""	""	""	""	""
"307"	"Total"	""	"2199"	""	""	"309"	""	""	""	"2023"	""	"145"	""	""	""	""	"49"	""	""	""	""	"102"	""	""	""	""	"69"	""	""	""	""	""	"68"	""	""	"143"	""	""	"5107"	""	""	""	"0"	""	""	""	"5107"	""	""	""	""	""	""
"308"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
