"FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.195.PALIGANJ.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"122"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial no. of polling station"	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	"RAM RAKSHA PRASAD"	""	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	""	"DIN NATH YADAV"	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""
"124"	"65"	"49"	""	""	""	"250"	""	""	""	"3"	""	""	""	"26"	""	""	""	"1"	""	""	""	"7"	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	""	"5"	""	""	"3"	""	""	""	"4"	""	""	""	"9"	""	""	"364"	""	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"66"	"198"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"202"	""	""	""	""	""	""	""	"202"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"67"	"66"	""	""	""	"25"	""	""	""	"7"	""	""	""	"207"	""	""	""	"14"	""	""	""	"1"	""	""	"2"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"17"	""	""	""	"7"	""	""	"5"	""	""	""	"4"	""	""	""	"6"	""	""	"368"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"68"	"208"	""	""	""	"96"	""	""	""	"11"	""	""	""	"41"	""	""	""	"14"	""	""	""	"0"	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"6"	""	""	""	"7"	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	"401"	""	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"69"	"123"	""	""	""	"33"	""	""	""	"3"	""	""	""	"197"	""	""	""	"24"	""	""	""	"2"	""	""	"3"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"33"	""	""	""	"14"	""	""	"6"	""	""	""	"7"	""	""	""	"24"	""	""	"474"	""	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"70"	"7"	""	""	""	"270"	""	""	""	"4"	""	""	""	"144"	""	""	""	"6"	""	""	""	"2"	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"11"	""	""	""	"12"	""	""	"8"	""	""	""	"6"	""	""	""	"6"	""	""	"482"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"71"	"188"	""	""	""	"29"	""	""	""	"4"	""	""	""	"138"	""	""	""	"7"	""	""	""	"6"	""	""	"0"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	"9"	""	""	""	"3"	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	"394"	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"72"	"7"	""	""	""	"23"	""	""	""	"3"	""	""	""	"119"	""	""	""	"10"	""	""	""	"0"	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"9"	""	""	""	"3"	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	"187"	""	""	""	""	""	""	""	"187"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"73"	"53"	""	""	""	"98"	""	""	""	"4"	""	""	""	"173"	""	""	""	"8"	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"16"	""	""	""	"7"	""	""	"1"	""	""	""	"5"	""	""	""	"4"	""	""	"374"	""	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"74"	"261"	""	""	""	"33"	""	""	""	"2"	""	""	""	"83"	""	""	""	"4"	""	""	""	"1"	""	""	"0"	""	""	""	""	"2"	""	""	""	"30"	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	"5"	""	""	""	"7"	""	""	"437"	""	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"75"	"294"	""	""	""	"29"	""	""	""	"3"	""	""	""	"66"	""	""	""	"4"	""	""	""	"1"	""	""	"2"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"7"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	"414"	""	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"76"	"228"	""	""	""	"6"	""	""	""	"3"	""	""	""	"38"	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	"293"	""	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"77"	"21"	""	""	""	"39"	""	""	""	"1"	""	""	""	"39"	""	""	""	"52"	""	""	""	"2"	""	""	"3"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	"1"	""	""	"6"	""	""	""	"7"	""	""	""	"10"	""	""	"194"	""	""	""	""	""	""	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"78"	"206"	""	""	""	"209"	""	""	""	"11"	""	""	""	"73"	""	""	""	"7"	""	""	""	"2"	""	""	"1"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	"22"	""	""	""	"14"	""	""	"4"	""	""	""	"6"	""	""	""	"15"	""	""	"581"	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Total"	"1909"	""	""	""	"1140"	""	""	""	"59"	""	""	""	"1347"	""	""	""	"154"	""	""	""	"25"	""	""	"16"	""	""	""	""	"20"	""	""	""	"63"	""	""	""	"155"	""	""	""	"77"	""	""	"45"	""	""	""	"56"	""	""	""	"99"	""	""	"5165"	""	""	""	""	""	""	""	"5165"	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"139"	"Till last
round"	"6813"	""	""	""	"6791"	""	""	""	"294"	""	""	""	"9059"	""	""	""	"670"	""	""	""	"132"	""	""	"133"	""	""	""	""	"163"	""	""	""	"289"	""	""	""	"706"	""	""	""	"372"	""	""	"215"	""	""	""	"224"	""	""	""	"424"	""	""	"26285"	""	""	""	"0"	""	""	""	"26285"	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"140"	"Grand
Total"	"8722"	""	""	""	"7931"	""	""	""	"353"	""	""	""	"10406"	""	""	""	"824"	""	""	""	"157"	""	""	"149"	""	""	""	""	"183"	""	""	""	"352"	""	""	""	"861"	""	""	""	"449"	""	""	"260"	""	""	""	"280"	""	""	""	"523"	""	""	"31450"	""	""	""	"0"	""	""	""	"31450"	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"141"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"`                                                                                                          Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-7
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial no. of polling station"	""	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"148"	"79"	""	"98"	""	""	""	"183"	""	""	"9"	""	""	""	"216"	""	""	""	"10"	""	""	""	"7"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"26"	""	""	"8"	""	""	""	"5"	""	""	""	"0"	""	""	"9"	""	""	"576"	""	""	""	""	""	""	""	"576"	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"80"	""	"17"	""	""	""	"120"	""	""	"1"	""	""	""	"25"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"174"	""	""	""	""	""	""	""	"174"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"81"	""	"191"	""	""	""	"56"	""	""	"2"	""	""	""	"86"	""	""	""	"9"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"5"	""	""	"5"	""	""	""	"0"	""	""	""	"3"	""	""	"7"	""	""	"367"	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"82"	""	"87"	""	""	""	"25"	""	""	"1"	""	""	""	"233"	""	""	""	"8"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"12"	""	""	"3"	""	""	""	"4"	""	""	""	"6"	""	""	"4"	""	""	"388"	""	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"83"	""	"186"	""	""	""	"123"	""	""	"10"	""	""	""	"108"	""	""	""	"5"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"26"	""	""	""	""	"18"	""	""	"8"	""	""	""	"2"	""	""	""	"8"	""	""	"14"	""	""	"514"	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"84"	""	"117"	""	""	""	"44"	""	""	"6"	""	""	""	"168"	""	""	""	"50"	""	""	""	"6"	""	""	""	"5"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"27"	""	""	"14"	""	""	""	"7"	""	""	""	"5"	""	""	"11"	""	""	"469"	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"85"	""	"197"	""	""	""	"44"	""	""	"7"	""	""	""	"73"	""	""	""	"12"	""	""	""	"2"	""	""	""	"5"	""	""	""	"6"	""	""	""	"14"	""	""	""	""	"8"	""	""	"4"	""	""	""	"3"	""	""	""	"4"	""	""	"7"	""	""	"386"	""	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"86"	""	"114"	""	""	""	"160"	""	""	"5"	""	""	""	"184"	""	""	""	"28"	""	""	""	"12"	""	""	""	"4"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"22"	""	""	"7"	""	""	""	"8"	""	""	""	"12"	""	""	"20"	""	""	"583"	""	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"87"	""	"17"	""	""	""	"73"	""	""	"4"	""	""	""	"302"	""	""	""	"6"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"11"	""	""	"5"	""	""	""	"5"	""	""	""	"2"	""	""	"6"	""	""	"439"	""	""	""	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"87A"	""	"48"	""	""	""	"113"	""	""	"4"	""	""	""	"69"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"6"	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	"5"	""	""	"257"	""	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"88"	""	"61"	""	""	""	"133"	""	""	"19"	""	""	""	"150"	""	""	""	"9"	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"12"	""	""	"7"	""	""	""	"4"	""	""	""	"8"	""	""	"19"	""	""	"433"	""	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"89"	""	"95"	""	""	""	"145"	""	""	"3"	""	""	""	"153"	""	""	""	"10"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"417"	""	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"90"	""	"119"	""	""	""	"39"	""	""	"6"	""	""	""	"152"	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"26"	""	""	"3"	""	""	""	"3"	""	""	""	"6"	""	""	"9"	""	""	"373"	""	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"91"	""	"213"	""	""	""	"30"	""	""	"5"	""	""	""	"166"	""	""	""	"16"	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"8"	""	""	"5"	""	""	""	"1"	""	""	""	"4"	""	""	"7"	""	""	"463"	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Total"	""	"1560"	""	""	""	"1288"	""	""	"82"	""	""	""	"2085"	""	""	""	"171"	""	""	""	"46"	""	""	""	"26"	""	""	""	"31"	""	""	""	"63"	""	""	""	""	"183"	""	""	"76"	""	""	""	"47"	""	""	""	"60"	""	""	"121"	""	""	"5839"	""	""	""	""	""	""	""	"5839"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"163"	"Till last
round"	""	"8722"	""	""	""	"7931"	""	""	"353"	""	""	""	"10406"	""	""	""	"824"	""	""	""	"157"	""	""	""	"149"	""	""	""	"183"	""	""	""	"352"	""	""	""	""	"861"	""	""	"449"	""	""	""	"260"	""	""	""	"280"	""	""	"523"	""	""	"31450"	""	""	""	"0"	""	""	""	"31450"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"164"	"Grand
Total"	""	"10282"	""	""	""	"9219"	""	""	"435"	""	""	""	"12491"	""	""	""	"995"	""	""	""	"203"	""	""	""	"175"	""	""	""	"214"	""	""	""	"415"	""	""	""	""	"1044"	""	""	"525"	""	""	""	"307"	""	""	""	"340"	""	""	"644"	""	""	"37289"	""	""	""	"0"	""	""	""	"37289"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"165"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-8
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial no. of polling station"	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	"NAND KUMAR NANDA"	""	""	""	""	"SHAMSHIR ALAM"	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	""	"SATISH CHANDRA SHARMA"	""	""	"AJAY KUMAR"	""	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""
"172"	"91A"	"329"	""	""	""	"19"	""	""	""	"0"	""	""	"26"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"383"	""	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"92"	"76"	""	""	""	"223"	""	""	""	"3"	""	""	"167"	""	""	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"7"	""	""	""	""	"12"	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	""	"4"	""	""	"507"	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"93"	"296"	""	""	""	"90"	""	""	""	"9"	""	""	"71"	""	""	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	"7"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	"489"	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"94"	"351"	""	""	""	"50"	""	""	""	"12"	""	""	"122"	""	""	""	""	"47"	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	"5"	""	""	""	""	"23"	""	""	"6"	""	""	""	"1"	""	""	""	"6"	""	""	""	"21"	""	""	"652"	""	""	""	""	""	""	"652"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"95"	"15"	""	""	""	"282"	""	""	""	"8"	""	""	"49"	""	""	""	""	"12"	""	""	"14"	""	""	""	"1"	""	""	""	""	"4"	""	""	"2"	""	""	""	""	"7"	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	"402"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"96"	"113"	""	""	""	"190"	""	""	""	"7"	""	""	"44"	""	""	""	""	"5"	""	""	"5"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	""	""	"6"	""	""	"13"	""	""	""	"6"	""	""	""	"4"	""	""	""	"9"	""	""	"408"	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"97"	"133"	""	""	""	"19"	""	""	""	"8"	""	""	"291"	""	""	""	""	"7"	""	""	"3"	""	""	""	"6"	""	""	""	""	"1"	""	""	"6"	""	""	""	""	"16"	""	""	"12"	""	""	""	"8"	""	""	""	"7"	""	""	""	"12"	""	""	"529"	""	""	""	""	""	""	"529"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"98"	"157"	""	""	""	"110"	""	""	""	"15"	""	""	"185"	""	""	""	""	"13"	""	""	"7"	""	""	""	"3"	""	""	""	""	"1"	""	""	"5"	""	""	""	""	"37"	""	""	"12"	""	""	""	"2"	""	""	""	"6"	""	""	""	"9"	""	""	"562"	""	""	""	""	""	""	"562"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"99"	"215"	""	""	""	"52"	""	""	""	"4"	""	""	"240"	""	""	""	""	"19"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	"16"	""	""	"6"	""	""	""	"7"	""	""	""	"4"	""	""	""	"8"	""	""	"576"	""	""	""	""	""	""	"576"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"100"	"235"	""	""	""	"56"	""	""	""	"6"	""	""	"115"	""	""	""	""	"4"	""	""	"5"	""	""	""	"1"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	"5"	""	""	"5"	""	""	""	"4"	""	""	""	"1"	""	""	""	"7"	""	""	"448"	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"101"	"62"	""	""	""	"75"	""	""	""	"6"	""	""	"435"	""	""	""	""	"10"	""	""	"4"	""	""	""	"0"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"13"	""	""	"7"	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	"621"	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"102"	"150"	""	""	""	"2"	""	""	""	"1"	""	""	"118"	""	""	""	""	"12"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"4"	""	""	""	""	"9"	""	""	"6"	""	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	"315"	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
