"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"113"	""	"47"	""	"145"	""	"2"	""	"4"	""	"162"	""	""	""	"7"	""	""	"1"	""	""	""	"5"	""	""	"1"	""	""	""	""	"2"	""	""	"8"	""	""	"3"	""	""	"387"	""	""	""	"387"	""	""	""	""	""	""	""
"186"	"114"	""	"33"	""	"13"	""	""	""	"2"	""	"170"	""	""	""	"7"	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"10"	""	""	"241"	""	""	""	"241"	""	""	""	""	""	""	""
"187"	"115"	""	"81"	""	"228"	""	"6"	""	"11"	""	"136"	""	""	""	"3"	""	""	"4"	""	""	""	"12"	""	""	"3"	""	"3"	""	""	"2"	""	""	"13"	""	""	"13"	""	""	"515"	""	""	""	"515"	""	""	""	""	""	""	""
"188"	"Total"	""	"906"	""	"1279"	""	"34"	""	"81"	""	"2683"	""	""	""	"61"	""	""	"29"	""	""	""	"46"	""	""	"22"	""	"27"	""	""	"12"	""	""	"66"	""	""	"137"	""	""	"5383"	""	""	""	"5383"	""	""	"0"	""	""	""	""
"189"	"Till Last Round"	""	"3858"	""	"17244"	""	"810"	""	"3656"	""	"13996"	""	""	""	"519"	""	""	"266"	""	""	""	"374"	""	""	"228"	""	"226"	""	""	"231"	""	""	"718"	""	""	"988"	""	""	"43114"	""	"0"	""	"43114"	""	""	"0"	""	""	""	""
"190"	"Grand Total"	""	"4764"	""	"18523"	""	"844"	""	"3737"	""	"16679"	""	""	""	"580"	""	""	"295"	""	""	""	"420"	""	""	"250"	""	"253"	""	""	"243"	""	""	"784"	""	""	"1125"	""	""	"48497"	""	"0"	""	"48497"	""	""	"0"	""	""	""	""
"191"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"193"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"116"	""	"114"	""	"232"	""	"6"	""	"11"	""	"100"	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	"3"	""	"1"	""	""	"1"	""	""	"8"	""	""	"7"	""	""	"487"	""	""	""	"487"	""	""	""	""	""	""	""
"195"	"117"	""	"30"	""	"200"	""	"4"	""	"5"	""	"113"	""	""	""	"2"	""	""	"3"	""	""	""	"6"	""	""	"2"	""	"2"	""	""	"2"	""	""	"12"	""	""	"8"	""	""	"389"	""	""	""	"389"	""	""	""	""	""	""	""
"196"	"118"	""	"22"	""	"239"	""	"2"	""	"3"	""	"100"	""	""	""	"1"	""	""	"5"	""	""	""	"4"	""	""	"2"	""	"1"	""	""	"2"	""	""	"5"	""	""	"7"	""	""	"393"	""	""	""	"393"	""	""	""	""	""	""	""
"197"	"119"	""	"36"	""	"293"	""	"6"	""	"4"	""	"75"	""	""	""	"1"	""	""	"3"	""	""	""	"9"	""	""	""	""	"2"	""	""	"4"	""	""	"16"	""	""	"4"	""	""	"453"	""	""	""	"453"	""	""	""	""	""	""	""
"198"	"120"	""	"26"	""	"28"	""	"1"	""	"3"	""	"219"	""	""	""	"5"	""	""	"1"	""	""	""	""	""	""	"1"	""	"1"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	"294"	""	""	""	"294"	""	""	""	""	""	""	""
"199"	"120A"	""	"17"	""	"60"	""	"2"	""	"1"	""	"176"	""	""	""	"7"	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	"10"	""	""	"281"	""	""	""	"281"	""	""	""	""	""	""	""
"200"	"121"	""	"20"	""	"93"	""	"3"	""	"3"	""	"195"	""	""	""	"3"	""	""	"3"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	"2"	""	""	"329"	""	""	""	"329"	""	""	""	""	""	""	""
"201"	"121A"	""	"9"	""	"172"	""	"4"	""	"3"	""	"70"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"6"	""	""	"4"	""	""	"270"	""	""	""	"270"	""	""	""	""	""	""	""
"202"	"122"	""	"11"	""	"56"	""	"1"	""	""	""	"237"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"3"	""	""	"312"	""	""	""	"312"	""	""	""	""	""	""	""
"203"	"123"	""	"16"	""	"32"	""	""	""	"4"	""	"379"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	"6"	""	""	"445"	""	""	""	"445"	""	""	""	""	""	""	""
"204"	"124"	""	"77"	""	"25"	""	""	""	"11"	""	"186"	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	"3"	""	""	"8"	""	""	"319"	""	""	""	"319"	""	""	""	""	""	""	""
"205"	"125"	""	"103"	""	"19"	""	"1"	""	"4"	""	"258"	""	""	""	"4"	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"13"	""	""	"406"	""	""	""	"406"	""	""	""	""	""	""	""
"206"	"126"	""	"13"	""	"129"	""	"3"	""	"4"	""	"168"	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	"3"	""	"2"	""	""	""	""	""	"3"	""	""	"6"	""	""	"338"	""	""	""	"338"	""	""	""	""	""	""	""
"207"	"127"	""	"9"	""	"81"	""	"2"	""	"5"	""	"217"	""	""	""	"3"	""	""	"1"	""	""	""	"3"	""	""	"4"	""	"2"	""	""	""	""	""	"2"	""	""	"2"	""	""	"331"	""	""	""	"331"	""	""	""	""	""	""	""
"208"	"Total"	""	"503"	""	"1659"	""	"35"	""	"61"	""	"2493"	""	""	""	"46"	""	""	"20"	""	""	""	"33"	""	""	"18"	""	"12"	""	""	"15"	""	""	"67"	""	""	"85"	""	""	"5047"	""	""	""	"5047"	""	""	"0"	""	""	""	""
"209"	"Till Last Round"	""	"4764"	""	"18523"	""	"844"	""	"3737"	""	"16679"	""	""	""	"580"	""	""	"295"	""	""	""	"420"	""	""	"250"	""	"253"	""	""	"243"	""	""	"784"	""	""	"1125"	""	""	"48497"	""	"0"	""	"48497"	""	""	"0"	""	""	""	""
"210"	"Grand Total"	""	"5267"	""	"20182"	""	"879"	""	"3798"	""	"19172"	""	""	""	"626"	""	""	"315"	""	""	""	"453"	""	""	"268"	""	"265"	""	""	"258"	""	""	"851"	""	""	"1210"	""	""	"53544"	""	"0"	""	"53544"	""	""	"0"	""	""	""	""
"211"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"213"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"128"	""	"17"	""	"16"	""	"1"	""	""	""	"296"	""	""	""	"9"	""	""	"3"	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"350"	""	""	""	"350"	""	""	""	""	""	""	""
"215"	"129"	""	"7"	""	"15"	""	""	""	""	""	"179"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"210"	""	""	""	"210"	""	""	""	""	""	""	""
"216"	"130"	""	"28"	""	"18"	""	"2"	""	"5"	""	"299"	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	"3"	""	""	"3"	""	""	"368"	""	""	""	"368"	""	""	""	""	""	""	""
"217"	"131"	""	"21"	""	"47"	""	"1"	""	"6"	""	"336"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	"1"	""	"2"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"423"	""	""	""	"423"	""	""	""	""	""	""	""
"218"	"132"	""	"24"	""	"142"	""	"1"	""	"3"	""	"162"	""	""	""	"8"	""	""	"1"	""	""	""	"5"	""	""	"3"	""	"1"	""	""	"1"	""	""	"6"	""	""	"4"	""	""	"361"	""	""	""	"361"	""	""	""	""	""	""	""
"219"	"133"	""	"63"	""	"41"	""	""	""	"6"	""	"181"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"297"	""	""	""	"297"	""	""	""	""	""	""	""
"220"	"134"	""	"11"	""	"68"	""	""	""	"2"	""	"243"	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	"1"	""	"3"	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"339"	""	""	""	"339"	""	""	""	""	""	""	""
"221"	"135"	""	"37"	""	"205"	""	"2"	""	"1"	""	"112"	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	"1"	""	"2"	""	""	"2"	""	""	"6"	""	""	"4"	""	""	"378"	""	""	""	"378"	""	""	""	""	""	""	""
"222"	"136"	""	"22"	""	"302"	""	"2"	""	"3"	""	"61"	""	""	""	"1"	""	""	"2"	""	""	""	"7"	""	""	"2"	""	"2"	""	""	"3"	""	""	"14"	""	""	"4"	""	""	"425"	""	""	""	"425"	""	""	""	""	""	""	""
"223"	"137"	""	"38"	""	"328"	""	"3"	""	"6"	""	"75"	""	""	""	"6"	""	""	"5"	""	""	""	"8"	""	""	"4"	""	"3"	""	""	"1"	""	""	"14"	""	""	"6"	""	""	"497"	""	""	""	"497"	""	""	""	""	""	""	""
"224"	"138"	""	"3"	""	"127"	""	""	""	"1"	""	"228"	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"370"	""	""	""	"370"	""	""	""	""	""	""	""
"225"	"138A"	""	"7"	""	"59"	""	""	""	""	""	"177"	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"2"	""	""	"249"	""	""	""	"249"	""	""	""	""	""	""	""
"226"	"139"	""	"16"	""	"50"	""	"1"	""	"4"	""	"450"	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"531"	""	""	""	"531"	""	""	""	""	""	""	""
"227"	"139A"	""	"13"	""	"27"	""	""	""	""	""	"211"	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"256"	""	""	""	"256"	""	""	""	""	""	""	""
"228"	"Total"	""	"307"	""	"1445"	""	"13"	""	"37"	""	"3010"	""	""	""	"54"	""	""	"14"	""	""	""	"42"	""	""	"14"	""	"13"	""	""	"14"	""	""	"53"	""	""	"38"	""	""	"5054"	""	""	""	"5054"	""	""	"0"	""	""	""	""
"229"	"Till Last Round"	""	"5267"	""	"20182"	""	"879"	""	"3798"	""	"19172"	""	""	""	"626"	""	""	"315"	""	""	""	"453"	""	""	"268"	""	"265"	""	""	"258"	""	""	"851"	""	""	"1210"	""	""	"53544"	""	"0"	""	"53544"	""	""	"0"	""	""	""	""
"230"	"Grand Total"	""	"5574"	""	"21627"	""	"892"	""	"3835"	""	"22182"	""	""	""	"680"	""	""	"329"	""	""	""	"495"	""	""	"282"	""	"278"	""	""	"272"	""	""	"904"	""	""	"1248"	""	""	"58598"	""	"0"	""	"58598"	""	""	"0"	""	""	""	""
"231"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"233"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"140"	""	"156"	""	"90"	""	"14"	""	"4"	""	"35"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	"6"	""	""	"4"	""	""	"317"	""	""	""	"317"	""	""	""	""	""	""	""
"235"	"140A"	""	"87"	""	"117"	""	"5"	""	"9"	""	"40"	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	"2"	""	""	""	""	""	"1"	""	""	"2"	""	""	"272"	""	""	""	"272"	""	""	""	""	""	""	""
"236"	"141"	""	"49"	""	"137"	""	"13"	""	"7"	""	"72"	""	""	""	"1"	""	""	"1"	""	""	""	"4"	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"3"	""	""	"292"	""	""	""	"292"	""	""	""	""	""	""	""
"237"	"141A"	""	"22"	""	"189"	""	"3"	""	"7"	""	"24"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"253"	""	""	""	"253"	""	""	""	""	""	""	""
"238"	"142"	""	"86"	""	"210"	""	"5"	""	"111"	""	"49"	""	""	""	"3"	""	""	"7"	""	""	""	"1"	""	""	""	""	"3"	""	""	"5"	""	""	"9"	""	""	"17"	""	""	"506"	""	""	""	"506"	""	""	""	""	""	""	""
"239"	"142A"	""	"16"	""	"103"	""	"1"	""	"4"	""	"17"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"4"	""	""	"149"	""	""	""	"149"	""	""	""	""	""	""	""
"240"	"143"	""	"67"	""	"344"	""	"6"	""	"4"	""	"116"	""	""	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	""	"1"	""	""	"3"	""	""	"10"	""	""	"8"	""	""	"577"	""	""	""	"577"	""	""	""	""	""	""	""
"241"	"144"	""	"16"	""	"120"	""	"5"	""	"4"	""	"149"	""	""	""	"3"	""	""	"1"	""	""	""	"5"	""	""	"3"	""	""	""	""	"2"	""	""	"9"	""	""	"5"	""	""	"322"	""	""	""	"322"	""	""	""	""	""	""	""
"242"	"145"	""	"11"	""	"63"	""	""	""	"4"	""	"186"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	"1"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"275"	""	""	""	"275"	""	""	""	""	""	""	""
"243"	"146"	""	"50"	""	"33"	""	"1"	""	"1"	""	"122"	""	""	""	"4"	""	""	"1"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	"4"	""	""	"227"	""	""	""	"227"	""	""	""	""	""	""	""
"244"	"147"	""	"10"	""	"173"	""	"3"	""	"11"	""	"416"	""	""	""	"8"	""	""	"1"	""	""	""	"9"	""	""	"3"	""	"1"	""	""	"7"	""	""	"12"	""	""	"23"	""	""	"677"	""	""	""	"677"	""	""	""	""	""	""	""
"245"	"148"	""	"32"	""	"23"	""	"1"	""	"3"	""	"181"	""	""	""	"4"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	"7"	""	""	"260"	""	""	""	"260"	""	""	""	""	""	""	""
"246"	"148A"	""	"15"	""	"39"	""	"1"	""	"1"	""	"173"	""	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"5"	""	""	"244"	""	""	""	"244"	""	""	""	""	""	""	""
"247"	"149"	""	"12"	""	"38"	""	""	""	"4"	""	"184"	""	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"3"	""	""	"247"	""	""	""	"247"	""	""	""	""	""	""	""
"248"	"Total"	""	"629"	""	"1679"	""	"58"	""	"174"	""	"1764"	""	""	""	"38"	""	""	"26"	""	""	""	"47"	""	""	"13"	""	"15"	""	""	"24"	""	""	"62"	""	""	"89"	""	""	"4618"	""	""	""	"4618"	""	""	"0"	""	""	""	""
"249"	"Till Last Round"	""	"5574"	""	"21627"	""	"892"	""	"3835"	""	"22182"	""	""	""	"680"	""	""	"329"	""	""	""	"495"	""	""	"282"	""	"278"	""	""	"272"	""	""	"904"	""	""	"1248"	""	""	"58598"	""	"0"	""	"58598"	""	""	"0"	""	""	""	""
"250"	"Grand Total"	""	"6203"	""	"23306"	""	"950"	""	"4009"	""	"23946"	""	""	""	"718"	""	""	"355"	""	""	""	"542"	""	""	"295"	""	"293"	""	""	"296"	""	""	"966"	""	""	"1337"	""	""	"63216"	""	"0"	""	"63216"	""	""	"0"	""	""	""	""
"251"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"253"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"150"	""	"14"	""	"23"	""	""	""	"3"	""	"185"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"236"	""	""	""	"236"	""	""	""	""	""	""	""
"255"	"151"	""	"13"	""	"306"	""	"5"	""	"31"	""	"187"	""	""	""	"3"	""	""	""	""	""	""	"11"	""	""	"1"	""	"5"	""	""	"4"	""	""	"14"	""	""	"6"	""	""	"586"	""	""	""	"586"	""	""	""	""	""	""	""
"256"	"152"	""	"7"	""	"408"	""	"4"	""	"17"	""	"190"	""	""	""	"5"	""	""	"5"	""	""	""	"12"	""	""	"3"	""	"2"	""	""	"1"	""	""	"10"	""	""	"7"	""	""	"671"	""	""	""	"671"	""	""	""	""	""	""	""
"257"	"153"	""	"13"	""	"99"	""	"7"	""	"5"	""	"369"	""	""	""	"8"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	"2"	""	""	"2"	""	""	"6"	""	""	"6"	""	""	"524"	""	""	""	"524"	""	""	""	""	""	""	""
"258"	"154"	""	"75"	""	"133"	""	"17"	""	"15"	""	"99"	""	""	""	"1"	""	""	"5"	""	""	""	"1"	""	""	"3"	""	"1"	""	""	"2"	""	""	"7"	""	""	"15"	""	""	"374"	""	""	""	"374"	""	""	""	""	""	""	""
"259"	"154A"	""	"26"	""	"156"	""	"7"	""	"6"	""	"48"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"5"	""	""	"6"	""	""	"259"	""	""	""	"259"	""	""	""	""	""	""	""
"260"	"155"	""	"22"	""	"104"	""	"7"	""	"14"	""	"209"	""	""	""	"14"	""	""	"5"	""	""	""	"9"	""	""	"10"	""	"7"	""	""	"3"	""	""	"11"	""	""	"7"	""	""	"422"	""	""	""	"422"	""	""	""	""	""	""	""
"261"	"156"	""	"10"	""	"150"	""	"7"	""	"27"	""	"120"	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	"4"	""	"2"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	"339"	""	""	""	"339"	""	""	""	""	""	""	""
"262"	"157"	""	"52"	""	"221"	""	"4"	""	"19"	""	"179"	""	""	""	"9"	""	""	"4"	""	""	""	"5"	""	""	"3"	""	"3"	""	""	"7"	""	""	"11"	""	""	"13"	""	""	"530"	""	""	""	"530"	""	""	""	""	""	""	""
"263"	"158"	""	"12"	""	"114"	""	"3"	""	"2"	""	"192"	""	""	""	"5"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	""	""	""	"1"	""	""	"5"	""	""	"7"	""	""	"348"	""	""	""	"348"	""	""	""	""	""	""	""
"264"	"159"	""	"9"	""	"104"	""	"1"	""	"44"	""	"103"	""	""	""	"2"	""	""	"2"	""	""	""	"4"	""	""	"3"	""	"1"	""	""	"2"	""	""	"3"	""	""	"3"	""	""	"281"	""	""	""	"281"	""	""	""	""	""	""	""
"265"	"159A"	""	"49"	""	"193"	""	"9"	""	"98"	""	"36"	""	""	""	"7"	""	""	"6"	""	""	""	"6"	""	""	"4"	""	"6"	""	""	"5"	""	""	"17"	""	""	"36"	""	""	"472"	""	""	""	"472"	""	""	""	""	""	""	""
"266"	"160"	""	"41"	""	"50"	""	"3"	""	"68"	""	"177"	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	"1"	""	""	""	""	"2"	""	""	"10"	""	""	"10"	""	""	"373"	""	""	""	"373"	""	""	""	""	""	""	""
"267"	"161"	""	"81"	""	"52"	""	"2"	""	"36"	""	"202"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	""	"2"	""	"3"	""	""	""	""	""	"2"	""	""	"5"	""	""	"394"	""	""	""	"394"	""	""	""	""	""	""	""
"268"	"Total"	""	"424"	""	"2113"	""	"76"	""	"385"	""	"2296"	""	""	""	"82"	""	""	"36"	""	""	""	"61"	""	""	"40"	""	"32"	""	""	"34"	""	""	"103"	""	""	"127"	""	""	"5809"	""	""	""	"5809"	""	""	"0"	""	""	""	""
"269"	"Till Last Round"	""	"6203"	""	"23306"	""	"950"	""	"4009"	""	"23946"	""	""	""	"718"	""	""	"355"	""	""	""	"542"	""	""	"295"	""	"293"	""	""	"296"	""	""	"966"	""	""	"1337"	""	""	"63216"	""	"0"	""	"63216"	""	""	"0"	""	""	""	""
"270"	"Grand Total"	""	"6627"	""	"25419"	""	"1026"	""	"4394"	""	"26242"	""	""	""	"800"	""	""	"391"	""	""	""	"603"	""	""	"335"	""	"325"	""	""	"330"	""	""	"1069"	""	""	"1464"	""	""	"69025"	""	"0"	""	"69025"	""	""	"0"	""	""	""	""
"271"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"273"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"162"	""	"23"	""	"210"	""	"2"	""	"12"	""	"49"	""	""	""	"4"	""	""	"3"	""	""	""	"4"	""	""	"3"	""	"3"	""	""	"3"	""	""	"9"	""	""	"13"	""	""	"338"	""	""	""	"338"	""	""	""	""	""	""	""
"275"	"163"	""	"27"	""	"231"	""	"35"	""	"84"	""	"72"	""	""	""	"7"	""	""	"4"	""	""	""	"6"	""	""	"4"	""	"5"	""	""	"5"	""	""	"12"	""	""	"11"	""	""	"503"	""	""	""	"503"	""	""	""	""	""	""	""
"276"	"164"	""	"4"	""	"122"	""	"10"	""	""	""	"164"	""	""	""	"5"	""	""	"1"	""	""	""	"5"	""	""	"2"	""	"4"	""	""	"4"	""	""	"6"	""	""	"12"	""	""	"339"	""	""	""	"339"	""	""	""	""	""	""	""
