"fuokZpu.lapkyu.fu.e.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"pdz&izFke        fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"393"	"f}rh; pdzzzz"	""	"805"	"249"	"3184"	"1647"	"214"	"133"	"147"	"6379"	""	"6379"	""
"394"	"r``r``rh; pdzz"	""	"958"	"356"	"1529"	"2662"	"168"	"112"	"126"	"5911"	""	"5911"	""
"395"	"prqqFqqFkZZZZ pdzz"	""	"398"	"354"	"2273"	"2757"	"228"	"125"	"160"	"6295"	""	"6295"	""
"396"	"iape pdzzzz"	""	"439"	"225"	"2030"	"3132"	"197"	"137"	"150"	"6310"	""	"6310"	""
"397"	"\"k\"Be pdzzzz"	""	"591"	"204"	"2386"	"2666"	"263"	"126"	"179"	"6415"	""	"6415"	""
"398"	"lIre pdzzzz"	""	"587"	"256"	"1684"	"1968"	"491"	"117"	"127"	"5230"	""	"5230"	""
"399"	"v\"Ve pdzz"	""	"876"	"230"	"2371"	"1776"	"232"	"127"	"205"	"5817"	""	"5817"	""
"400"	"uoe~~~~ pdzz"	""	"551"	"187"	"2854"	"2468"	"211"	"141"	"174"	"6586"	""	"6586"	""
"401"	"n'ke pdzzzz"	""	"604"	"220"	"2856"	"2466"	"169"	"98"	"119"	"6532"	""	"6532"	""
"402"	"X;kjogkWWaaWWaa pdzz"	""	"1489"	"141"	"2681"	"1734"	"155"	"87"	"138"	"6425"	""	"6425"	""
"403"	"ckjgokWWWW pd"	""	"265"	"369"	"2161"	"3358"	"209"	"151"	"185"	"6698"	""	"6698"	""
"404"	"rjssjss gokWWaaWWaa pdzzzz"	""	"616"	"318"	"3165"	"2834"	"230"	"170"	"215"	"7548"	""	"7548"	""
"405"	"pkSSnSSngokWWWW pdzz"	""	"430"	"305"	"1977"	"2852"	"234"	"182"	"182"	"6162"	""	"6162"	""
"406"	"iUnzzozzokWWaaWWaa pdzzzz"	""	"528"	"293"	"3204"	"2108"	"208"	"152"	"145"	"6636"	""	"6638"	""
"407"	"lkssyssygokWWaaWWaa  pdzzzz"	""	"146"	"81"	"726"	"1201"	"66"	"45"	"65"	"2330"	""	"2330"	""
"408"	"ikssLssLVy cSSySSyssVssV"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3"	"3"	""
"409"	";kssxssx"	""	"10042"	"4085"	"37081"	"38235"	"3484"	"2025"	"2494"	"97446"	"3"	"97449"	""
"410"	"g0@&"	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"fuokZZpZZph inkf/kdkjh] 25&cjkSSySSyh] xkssissikyxat A"	""	""	""	""	""	""	""	""	""	""	""	""
