"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"141"	"69"	""	""	"230"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"130"	""	""	""	"18"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"18"	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"70"	""	""	"152"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"375"	""	""	""	"41"	""	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	"17"	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"71"	""	""	"226"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"228"	""	""	""	"106"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	"594"	""	""	""	""	""	""	""	""	"594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"72"	""	""	"154"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	"129"	""	""	""	"34"	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"13"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"73"	""	""	"322"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"58"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	"16"	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"74"	""	""	"62"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"412"	""	""	""	"45"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"14"	""	""	""	""	""	"556"	""	""	""	""	""	""	""	""	"556"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"75"	""	""	"98"	""	""	""	""	"11"	""	""	""	"8"	""	""	""	"228"	""	""	""	"53"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"76"	""	""	"98"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"215"	""	""	""	"14"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Total"	""	""	"1800"	""	""	""	""	"51"	""	""	""	"84"	""	""	""	"2111"	""	""	""	"721"	""	""	""	""	"81"	""	""	""	""	"42"	""	""	""	""	""	""	"32"	""	""	""	""	"144"	""	""	""	""	""	"5066"	""	""	""	"0"	""	""	""	""	"5066"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Till last round"	""	""	"8318"	""	""	""	""	"362"	""	""	""	"568"	""	""	""	"12643"	""	""	""	"4623"	""	""	""	""	"554"	""	""	""	""	"224"	""	""	""	""	""	""	"207"	""	""	""	""	"919"	""	""	""	""	""	"28418"	""	""	""	"0"	""	""	""	""	"28418"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Grand Total"	""	""	"10118"	""	""	""	""	"413"	""	""	""	"652"	""	""	""	"14754"	""	""	""	"5344"	""	""	""	""	"635"	""	""	""	""	"266"	""	""	""	""	""	""	"239"	""	""	""	""	"1063"	""	""	""	""	""	"33484"	""	""	""	"0"	""	""	""	""	"33484"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"76A"	""	""	"56"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"194"	""	""	""	"51"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"77"	""	""	"71"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"263"	""	""	""	"31"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	""	""	"3"	""	""	""	""	"18"	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"78"	""	""	"113"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"264"	""	""	""	"61"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"79"	""	""	"57"	""	""	""	""	"2"	""	""	""	"17"	""	""	""	"202"	""	""	""	"160"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"80"	""	""	"33"	""	""	""	""	"4"	""	""	""	"60"	""	""	""	"190"	""	""	""	"154"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"81"	""	""	"44"	""	""	""	""	"4"	""	""	""	"27"	""	""	""	"151"	""	""	""	"68"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"82"	""	""	"98"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"163"	""	""	""	"48"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"83"	""	""	"85"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	"250"	""	""	""	"32"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	""	"399"	""	""	""	""	""	""	""	""	"399"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"84"	""	""	"24"	""	""	""	""	"25"	""	""	""	"6"	""	""	""	"88"	""	""	""	"52"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"210"	""	""	""	""	""	""	""	""	"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"85"	""	""	"3"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"83"	""	""	""	"196"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"86"	""	""	"2"	""	""	""	""	"0"	""	""	""	"137"	""	""	""	"142"	""	""	""	"173"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"87"	""	""	"111"	""	""	""	""	"1"	""	""	""	"16"	""	""	""	"274"	""	""	""	"205"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	"625"	""	""	""	""	""	""	""	""	"625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Total"	""	""	"697"	""	""	""	""	"55"	""	""	""	"292"	""	""	""	"2264"	""	""	""	"1231"	""	""	""	""	"61"	""	""	""	""	"35"	""	""	""	""	""	""	"35"	""	""	""	""	"98"	""	""	""	""	""	"4768"	""	""	""	"0"	""	""	""	""	"4768"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Till last round"	""	""	"10118"	""	""	""	""	"413"	""	""	""	"652"	""	""	""	"14754"	""	""	""	"5344"	""	""	""	""	"635"	""	""	""	""	"266"	""	""	""	""	""	""	"239"	""	""	""	""	"1063"	""	""	""	""	""	"33484"	""	""	""	"0"	""	""	""	""	"33484"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Grand Total"	""	""	"10815"	""	""	""	""	"468"	""	""	""	"944"	""	""	""	"17018"	""	""	""	"6575"	""	""	""	""	"696"	""	""	""	""	"301"	""	""	""	""	""	""	"274"	""	""	""	""	"1161"	""	""	""	""	""	"38252"	""	""	""	"0"	""	""	""	""	"38252"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"rial no. of
ing station"	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"88"	"23"	""	""	""	""	"2"	""	""	""	"54"	""	""	""	"64"	""	""	""	"117"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"89"	"34"	""	""	""	""	"3"	""	""	""	"25"	""	""	""	"38"	""	""	""	"263"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"90"	"34"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"140"	""	""	""	"147"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"91"	"65"	""	""	""	""	"3"	""	""	""	"22"	""	""	""	"263"	""	""	""	"110"	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	"15"	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"92"	"7"	""	""	""	""	"2"	""	""	""	"19"	""	""	""	"100"	""	""	""	"169"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"93"	"22"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"162"	""	""	""	"153"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"93A"	"60"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"155"	""	""	""	"91"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"11"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"94"	"19"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"109"	""	""	""	"62"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"95"	"28"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"48"	""	""	""	"29"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"114"	""	""	""	""	""	""	""	""	""	"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"96"	"165"	""	""	""	""	"6"	""	""	""	"11"	""	""	""	"162"	""	""	""	"54"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"97"	"66"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"361"	""	""	""	"37"	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	""	"22"	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"97A"	"48"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	"286"	""	""	""	"24"	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	"26"	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	""	"571"	""	""	""	""	"37"	""	""	""	"148"	""	""	""	"1888"	""	""	""	"1256"	""	""	""	"74"	""	""	""	""	"27"	""	""	""	""	""	"31"	""	""	""	""	""	"99"	""	""	""	""	""	"4131"	""	""	""	""	"0"	""	""	""	""	"4131"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"st round"	"10815"	""	""	""	""	"468"	""	""	""	"944"	""	""	""	"17018"	""	""	""	"6575"	""	""	""	"696"	""	""	""	""	"301"	""	""	""	""	""	"274"	""	""	""	""	""	"1161"	""	""	""	""	""	"38252"	""	""	""	""	"0"	""	""	""	""	"38252"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"d Total"	"11386"	""	""	""	""	"505"	""	""	""	"1092"	""	""	""	"18906"	""	""	""	"7831"	""	""	""	"770"	""	""	""	""	"328"	""	""	""	""	""	"305"	""	""	""	""	""	"1260"	""	""	""	""	""	"42383"	""	""	""	""	"0"	""	""	""	""	"42383"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"202"	"Serial no. of polling
station"	""	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"98"	""	""	""	"21"	""	""	""	""	"2"	""	""	""	"119"	""	""	""	"66"	""	""	""	"205"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"99"	""	""	""	"11"	""	""	""	""	"1"	""	""	""	"106"	""	""	""	"23"	""	""	""	"133"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"100"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"27"	""	""	""	"33"	""	""	""	"297"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"101"	""	""	""	"28"	""	""	""	""	"8"	""	""	""	"230"	""	""	""	"20"	""	""	""	"120"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"102"	""	""	""	"26"	""	""	""	""	"5"	""	""	""	"11"	""	""	""	"229"	""	""	""	"186"	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	"16"	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"103"	""	""	""	"41"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"179"	""	""	""	"35"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"104"	""	""	""	"49"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"192"	""	""	""	"56"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"105"	""	""	""	"69"	""	""	""	""	"4"	""	""	""	"13"	""	""	""	"167"	""	""	""	"77"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"106"	""	""	""	"52"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"217"	""	""	""	"64"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	"24"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"107"	""	""	""	"30"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"206"	""	""	""	"62"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
