"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"335"	"214"	"296"	"7"	"97"	"18"	"1"	"3"	""	"3"	""	"2"	""	"21"	"6"	""	"454"	"0"	"454"	"0"
"336"	"215"	"212"	"3"	"90"	"58"	"4"	"5"	""	"2"	""	"5"	""	"7"	"7"	""	"393"	"0"	"393"	"0"
"337"	"216"	"20"	"3"	"78"	"49"	"6"	"5"	""	"3"	""	"6"	""	"13"	"3"	""	"186"	"0"	"186"	"0"
"338"	"217"	"188"	"1"	"26"	"3"	"0"	"2"	""	"1"	""	"1"	""	"1"	"5"	""	"228"	"0"	"228"	"0"
"339"	"218"	"142"	"11"	"125"	"70"	"11"	"6"	""	"9"	""	"4"	""	"16"	"13"	""	"407"	"0"	"407"	"0"
"340"	"219"	"127"	"20"	"175"	"45"	"4"	"7"	""	"3"	""	"4"	""	"3"	"2"	""	"390"	"0"	"390"	"0"
"341"	"Total :"	"2364"	"206"	"1393"	"537"	"67"	"57"	""	"47"	""	"58"	""	"117"	"146"	""	"4992"	"0"	"4992"	"0"
"342"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"343"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"344"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"345"	"220"	"62"	"4"	"156"	"18"	"6"	"1"	""	"1"	""	"6"	""	"2"	"6"	""	"262"	"0"	"262"	"0"
"346"	"221"	"200"	"4"	"45"	"7"	"0"	"1"	""	"1"	""	"2"	""	"10"	"7"	""	"277"	"0"	"277"	"0"
"347"	"221A"	"87"	"70"	"17"	"95"	"1"	"1"	""	"3"	""	"3"	""	"1"	"2"	""	"280"	"0"	"280"	"0"
"348"	"222"	"31"	"6"	"202"	"46"	"2"	"3"	""	"1"	""	"3"	""	"28"	"4"	""	"326"	"0"	"326"	"0"
"349"	"223"	"416"	"15"	"8"	"45"	"3"	"1"	""	"6"	""	"1"	""	"1"	"6"	""	"502"	"0"	"502"	"0"
"350"	"224"	"232"	"14"	"156"	"42"	"4"	"3"	""	"2"	""	"6"	""	"2"	"6"	""	"467"	"0"	"467"	"0"
"351"	"225"	"262"	"24"	"205"	"21"	"6"	"4"	""	"8"	""	"5"	""	"9"	"10"	""	"554"	"0"	"554"	"0"
"352"	"226"	"56"	"12"	"161"	"19"	"6"	"4"	""	"4"	""	"7"	""	"3"	"8"	""	"280"	"0"	"280"	"0"
"353"	"227"	"65"	"12"	"150"	"12"	"6"	"5"	""	"4"	""	"16"	""	"8"	"14"	""	"292"	"0"	"292"	"0"
"354"	"228"	"404"	"9"	"7"	"55"	"1"	"2"	""	"0"	""	"0"	""	"1"	"1"	""	"480"	"0"	"480"	"0"
"355"	"229"	"53"	"9"	"34"	"4"	"2"	"1"	""	"0"	""	"4"	""	"2"	"2"	""	"111"	"0"	"111"	"0"
"356"	"230"	"111"	"26"	"103"	"20"	"9"	"10"	""	"6"	""	"12"	""	"15"	"19"	""	"331"	"0"	"331"	"0"
"357"	"231"	"211"	"54"	"209"	"32"	"16"	"5"	""	"8"	""	"14"	""	"12"	"22"	""	"583"	"0"	"583"	"0"
"358"	"232"	"353"	"8"	"78"	"66"	"6"	"8"	""	"7"	""	"3"	""	"4"	"8"	""	"541"	"0"	"541"	"0"
"359"	"Total :"	"2543"	"267"	"1531"	"482"	"68"	"49"	""	"51"	""	"82"	""	"98"	"115"	""	"5286"	"0"	"5286"	"0"
"360"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"361"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"362"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"363"	"232A"	"135"	"12"	"78"	"26"	"1"	"1"	""	"1"	""	"2"	""	"11"	"0"	""	"267"	"0"	"267"	"0"
"364"	"233"	"145"	"6"	"194"	"18"	"2"	"1"	""	"1"	""	"3"	""	"0"	"1"	""	"371"	"0"	"371"	"0"
"365"	"233A"	"164"	"4"	"35"	"6"	"2"	"0"	""	"0"	""	"3"	""	"4"	"2"	""	"220"	"0"	"220"	"0"
"366"	"234"	"292"	"31"	"137"	"43"	"10"	"6"	""	"2"	""	"12"	""	"5"	"5"	""	"543"	"0"	"543"	"0"
"367"	"235"	"147"	"15"	"133"	"13"	"7"	"4"	""	"5"	""	"5"	""	"0"	"4"	""	"333"	"0"	"333"	"0"
"368"	"236"	"329"	"23"	"61"	"24"	"6"	"4"	""	"3"	""	"5"	""	"36"	"24"	""	"515"	"0"	"515"	"0"
"369"	"237"	"132"	"6"	"79"	"27"	"4"	"3"	""	"0"	""	"5"	""	"3"	"9"	""	"268"	"0"	"268"	"0"
"370"	"238"	"324"	"16"	"117"	"33"	"2"	"1"	""	"1"	""	"1"	""	"6"	"5"	""	"506"	"0"	"506"	"0"
"371"	"239"	"151"	"7"	"113"	"30"	"2"	"4"	""	"2"	""	"2"	""	"2"	"8"	""	"321"	"0"	"321"	"0"
"372"	"240"	"405"	"12"	"30"	"18"	"2"	"0"	""	"0"	""	"1"	""	"0"	"2"	""	"470"	"0"	"470"	"0"
"373"	"241"	"66"	"3"	"328"	"16"	"2"	"5"	""	"5"	""	"2"	""	"4"	"10"	""	"441"	"0"	"441"	"0"
"374"	"242"	"81"	"13"	"218"	"73"	"7"	"3"	""	"4"	""	"3"	""	"1"	"2"	""	"405"	"0"	"405"	"0"
"375"	"243"	"229"	"8"	"192"	"24"	"5"	"2"	""	"1"	""	"5"	""	"0"	"7"	""	"473"	"0"	"473"	"0"
"376"	"244"	"178"	"19"	"172"	"42"	"8"	"3"	""	"5"	""	"10"	""	"36"	"7"	""	"480"	"0"	"480"	"0"
"377"	"Total :"	"2778"	"175"	"1887"	"393"	"60"	"37"	""	"30"	""	"59"	""	"108"	"86"	""	"5613"	"0"	"5613"	"0"
"378"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"379"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"380"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"381"	"245"	"186"	"14"	"180"	"48"	"15"	"2"	""	"2"	""	"5"	""	"0"	"4"	""	"456"	"0"	"456"	"0"
"382"	"246"	"156"	"11"	"34"	"10"	"4"	"3"	""	"1"	""	"3"	""	"3"	"6"	""	"231"	"0"	"231"	"0"
"383"	"247"	"88"	"8"	"128"	"21"	"5"	"3"	""	"0"	""	"7"	""	"2"	"6"	""	"268"	"0"	"268"	"0"
"384"	"247A"	"109"	"1"	"100"	"20"	"2"	"1"	""	"2"	""	"1"	""	"3"	"3"	""	"242"	"0"	"242"	"0"
"385"	"248"	"72"	"5"	"326"	"17"	"4"	"6"	""	"6"	""	"11"	""	"11"	"11"	""	"469"	"0"	"469"	"0"
"386"	"249"	"332"	"41"	"97"	"25"	"3"	"8"	""	"1"	""	"2"	""	"3"	"9"	""	"521"	"0"	"521"	"0"
"387"	"250"	"103"	"14"	"43"	"22"	"8"	"5"	""	"3"	""	"6"	""	"2"	"8"	""	"214"	"0"	"214"	"0"
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"Total :"	"1046"	"94"	"908"	"163"	"41"	"28"	""	"15"	""	"35"	""	"24"	"47"	""	"2401"	"0"	"2401"	"0"
