"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	"Total no. of votes"	""	"Total No. of tendered votes"	""
"292"	"7"	""	"1344"	""	"98"	""	"56"	""	"131"	""	"1485"	""	"272"	""	"52"	""	"49"	""	"145"	""	"3632"	""	"0"	""	"3632"	""	""	""	""
"293"	"8"	""	"1359"	""	"146"	""	"17"	""	"152"	""	"1727"	""	"104"	""	"37"	""	"42"	""	"143"	""	"3727"	""	"0"	""	"3727"	""	""	""	""
"294"	"9"	""	"1307"	""	"74"	""	"34"	""	"134"	""	"2437"	""	"93"	""	"41"	""	"42"	""	"141"	""	"4303"	""	"0"	""	"4303"	""	""	""	""
"295"	"10"	""	"1521"	""	"165"	""	"122"	""	"254"	""	"2913"	""	"92"	""	"59"	""	"58"	""	"189"	""	"5373"	""	"0"	""	"5373"	""	""	""	""
"296"	"11"	""	"1544"	""	"50"	""	"20"	""	"112"	""	"2241"	""	"77"	""	"36"	""	"43"	""	"148"	""	"4271"	""	"0"	""	"4271"	""	""	""	""
"297"	"12"	""	"1467"	""	"95"	""	"42"	""	"102"	""	"1664"	""	"64"	""	"38"	""	"45"	""	"147"	""	"3664"	""	"0"	""	"3664"	""	""	""	""
"298"	"13"	""	"1737"	""	"65"	""	"51"	""	"212"	""	"1697"	""	"94"	""	"37"	""	"36"	""	"218"	""	"4147"	""	"0"	""	"4147"	""	""	""	""
"299"	"14"	""	"2106"	""	"91"	""	"33"	""	"125"	""	"1128"	""	"181"	""	"48"	""	"39"	""	"163"	""	"3914"	""	"0"	""	"3914"	""	""	""	""
"300"	"15"	""	"615"	""	"123"	""	"32"	""	"202"	""	"1638"	""	"105"	""	"32"	""	"43"	""	"117"	""	"2907"	""	"0"	""	"2907"	""	""	""	""
"301"	"16"	""	"1309"	""	"69"	""	"65"	""	"170"	""	"1370"	""	"62"	""	"35"	""	"45"	""	"168"	""	"3293"	""	"0"	""	"3293"	""	""	""	""
"302"	"17"	""	"1860"	""	"158"	""	"81"	""	"479"	""	"2124"	""	"121"	""	"42"	""	"70"	""	"263"	""	"5198"	""	"0"	""	"5198"	""	""	""	""
"303"	"18"	""	"1827"	""	"168"	""	"71"	""	"223"	""	"1680"	""	"119"	""	"39"	""	"44"	""	"199"	""	"4370"	""	"0"	""	"4370"	""	""	""	""
"304"	"19"	""	"594"	""	"107"	""	"47"	""	"53"	""	"745"	""	"200"	""	"28"	""	"18"	""	"62"	""	"1854"	""	"0"	""	"1854"	""	"0"	""	""
"305"	"Total no. of votes recorded at polling station"	""	"27123"	""	"2432"	""	"1160"	""	"3893"	""	"33471"	""	"2273"	""	"861"	""	"1007"	""	"3432"	""	"75652"	""	"0"	""	"75652"	""	"0"	""	""
"306"	"No. of vote recorded on postal ballot papers"	""	"2"	""	"0"	""	"0"	""	"0"	""	"4"	""	"0"	""	"0"	""	"0"	""	"0"	""	"6"	""	"0"	""	"6"	""	""	""	""
"307"	"Total vote polled"	""	"27125"	""	"2432"	""	"1160"	""	"3893"	""	"33475"	""	"2273"	""	"861"	""	"1007"	""	"3432"	""	"75658"	""	"0"	""	"75658"	""	""	""	""
"308"	"Place Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Date  22-11-2005                                                                                                                                                                                                    Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
