"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"331"	"131"	""	"42"	""	"316"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"371"	""	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""
"332"	"131A"	""	"13"	""	"247"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"271"	""	""	""	""	""	""	"271"	""	""	""	""	""	""	""	""	""	""	""
"333"	"132"	""	"45"	""	"378"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"437"	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""
"334"	"Total"	""	"637"	""	"3750"	""	""	""	"27"	""	""	"67"	""	""	""	""	""	"79"	""	""	""	""	"89"	""	""	""	"9"	""	""	""	"7"	""	""	""	"13"	""	""	""	""	""	"18"	""	""	""	""	"7"	""	""	"9"	""	""	""	"12"	""	""	""	"31"	""	""	""	"4755"	""	""	""	""	""	""	"4755"	""	""	""	"0"	""	""	""	""	""	""	""
"335"	"Till Last Round"	""	"9936"	""	"44829"	""	""	""	"583"	""	""	"1466"	""	""	""	""	""	"418"	""	""	""	""	"981"	""	""	""	"106"	""	""	""	"78"	""	""	""	"107"	""	""	""	""	""	"182"	""	""	""	""	"79"	""	""	"105"	""	""	""	"149"	""	""	""	"387"	""	""	""	"59406"	""	""	""	"0"	""	""	"59406"	""	""	""	"0"	""	""	""	""	""	""	""
"336"	"Grand Total"	""	"10573"	""	"48579"	""	""	""	"610"	""	""	"1533"	""	""	""	""	""	"497"	""	""	""	""	"1070"	""	""	""	"115"	""	""	""	"85"	""	""	""	"120"	""	""	""	""	""	"200"	""	""	""	""	"86"	""	""	"114"	""	""	""	"161"	""	""	""	"418"	""	""	""	"64161"	""	""	""	"0"	""	""	"64161"	""	""	""	"0"	""	""	""	""	""	""	""
"337"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"342"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"132A"	""	"17"	""	"240"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"270"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""
"344"	"133"	""	"32"	""	"161"	""	""	""	"7"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"212"	""	""	""	""	""	""	"212"	""	""	""	""	""	""	""	""	""	""	""
"345"	"133A"	""	"15"	""	"190"	""	""	""	"8"	""	""	"12"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"242"	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""
"346"	"134"	""	"22"	""	"225"	""	""	""	"12"	""	""	"10"	""	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"293"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""
"347"	"134A"	""	"57"	""	"172"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"5"	""	""	""	"1"	""	""	""	"12"	""	""	""	"260"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""
"348"	"135"	""	"96"	""	"214"	""	""	""	"4"	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"3"	""	""	""	"4"	""	""	""	"15"	""	""	""	"359"	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""
"349"	"135A"	""	"27"	""	"284"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"325"	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""
"350"	"136"	""	"22"	""	"387"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"426"	""	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""
"351"	"136A"	""	"49"	""	"450"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"513"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	""	""
"352"	"137"	""	"15"	""	"360"	""	""	""	"2"	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"387"	""	""	""	""	""	""	"387"	""	""	""	""	""	""	""	""	""	""	""
"353"	"137A"	""	"17"	""	"311"	""	""	""	"4"	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"348"	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""
"354"	"138"	""	"38"	""	"225"	""	""	""	"2"	""	""	"13"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"294"	""	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""
"355"	"138A"	""	"11"	""	"228"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"242"	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""
"356"	"139"	""	"73"	""	"347"	""	""	""	"7"	""	""	"15"	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"462"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""
"357"	"Total"	""	"491"	""	"3794"	""	""	""	"51"	""	""	"98"	""	""	""	""	""	"32"	""	""	""	""	"59"	""	""	""	"3"	""	""	""	"8"	""	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	"9"	""	""	"15"	""	""	""	"16"	""	""	""	"43"	""	""	""	"4633"	""	""	""	""	""	""	"4633"	""	""	""	"0"	""	""	""	""	""	""	""
"358"	"Grand Total"	""	"10573"	""	"48579"	""	""	""	"610"	""	""	"1533"	""	""	""	""	""	"497"	""	""	""	""	"1070"	""	""	""	"115"	""	""	""	"85"	""	""	""	"120"	""	""	""	""	""	"200"	""	""	""	""	"86"	""	""	"114"	""	""	""	"161"	""	""	""	"418"	""	""	""	"64161"	""	""	""	"0"	""	""	"64161"	""	""	""	"0"	""	""	""	""	""	""	""
"359"	"Grand Total"	""	"11064"	""	"52373"	""	""	""	"661"	""	""	"1631"	""	""	""	""	""	"529"	""	""	""	""	"1129"	""	""	""	"118"	""	""	""	"93"	""	""	""	"124"	""	""	""	""	""	"210"	""	""	""	""	"95"	""	""	"129"	""	""	""	"177"	""	""	""	"461"	""	""	""	"68794"	""	""	""	"0"	""	""	"68794"	""	""	""	"0"	""	""	""	""	""	""	""
"360"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"365"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"140"	""	"35"	""	"340"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"394"	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""
"367"	"141"	""	"15"	""	"291"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"316"	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""
"368"	"141A"	""	"36"	""	"215"	""	""	""	"1"	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"269"	""	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""	""
"369"	"142"	""	"8"	""	"234"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"16"	""	""	""	"268"	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""
"370"	"142A"	""	"57"	""	"345"	""	""	""	"10"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	""	"452"	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	""	""
"371"	"143"	""	"54"	""	"191"	""	""	""	"1"	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"4"	""	""	""	"5"	""	""	""	"276"	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""
"372"	"143A"	""	"32"	""	"306"	""	""	""	"4"	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	"13"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	"377"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""
"373"	"144"	""	"27"	""	"346"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""
"374"	"144A"	""	"27"	""	"318"	""	""	""	"3"	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"367"	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""
"375"	"145"	""	"19"	""	"213"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"243"	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	""	""	""	""
"376"	"145A"	""	"41"	""	"273"	""	""	""	"2"	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"7"	""	""	""	"347"	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""
"377"	"146"	""	"20"	""	"218"	""	""	""	"1"	""	""	"17"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"264"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""
"378"	"146A"	""	"22"	""	"164"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"213"	""	""	""	""	""	""	"213"	""	""	""	""	""	""	""	""	""	""	""
"379"	"147"	""	"21"	""	"235"	""	""	""	"1"	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"278"	""	""	""	""	""	""	"278"	""	""	""	""	""	""	""	""	""	""	""
"380"	"Total"	""	"414"	""	"3689"	""	""	""	"29"	""	""	"91"	""	""	""	""	""	"53"	""	""	""	""	"75"	""	""	""	"13"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	""	"12"	""	""	""	""	"6"	""	""	"8"	""	""	""	"12"	""	""	""	"53"	""	""	""	"4464"	""	""	""	""	""	""	"4464"	""	""	""	"0"	""	""	""	""	""	""	""
"381"	"Till Last Round"	""	"11064"	""	"52373"	""	""	""	"661"	""	""	"1631"	""	""	""	""	""	"529"	""	""	""	""	"1129"	""	""	""	"118"	""	""	""	"93"	""	""	""	"124"	""	""	""	""	""	"210"	""	""	""	""	"95"	""	""	"129"	""	""	""	"177"	""	""	""	"461"	""	""	""	"68794"	""	""	""	"0"	""	""	"68794"	""	""	""	"0"	""	""	""	""	""	""	""
"382"	"Grand Total"	""	"11478"	""	"56062"	""	""	""	"690"	""	""	"1722"	""	""	""	""	""	"582"	""	""	""	""	"1204"	""	""	""	"131"	""	""	""	"98"	""	""	""	"128"	""	""	""	""	""	"222"	""	""	""	""	"101"	""	""	"137"	""	""	""	"189"	""	""	""	"514"	""	""	""	"73258"	""	""	""	"0"	""	""	"73258"	""	""	""	"0"	""	""	""	""	""	""	""
"383"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"388"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"147A"	""	"27"	""	"197"	""	""	""	"2"	""	""	"10"	""	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"6"	""	""	""	"260"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""
"390"	"148"	""	"18"	""	"288"	""	""	""	"2"	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"326"	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""
"391"	"148A"	""	"24"	""	"203"	""	""	""	"2"	""	""	"24"	""	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"277"	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""
"392"	"149"	""	"276"	""	"209"	""	""	""	"4"	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"19"	""	""	""	"2"	""	""	""	"0"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	"2"	""	""	""	"6"	""	""	""	"9"	""	""	""	"546"	""	""	""	""	""	""	"546"	""	""	""	""	""	""	""	""	""	""	""
"393"	"150"	""	"209"	""	"329"	""	""	""	"0"	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"565"	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""
"394"	"151"	""	"24"	""	"337"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"386"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""
"395"	"151A"	""	"40"	""	"407"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"13"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"4"	""	""	""	"477"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""
"396"	"152"	""	"168"	""	"144"	""	""	""	"3"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	"328"	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""
"397"	"152A"	""	"28"	""	"250"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"295"	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""
