"No..and.Name.of.Assembly.Contituency.37.MASHRAKH.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"253"	"2"	"2685"	""	"3048"	"246"	"65"	""	"128"	""	"50"	""	"46"	""	"116"	""	"44"	""	"218"	"79"	"179"	""	"292"	""	"7196"	""	""	""	""	""	""	""	""
"254"	"3"	"2789"	""	"2240"	"179"	"64"	""	"71"	""	"80"	""	"32"	""	"132"	""	"40"	""	"129"	"64"	"132"	""	"258"	""	"6210"	""	""	""	""	""	""	""	""
"255"	"4"	"2125"	""	"2232"	"201"	"67"	""	"61"	""	"36"	""	"31"	""	"446"	""	"53"	""	"148"	"57"	"160"	""	"212"	""	"5829"	""	""	""	""	""	""	""	""
"256"	"5"	"2351"	""	"2136"	"483"	"68"	""	"72"	""	"31"	""	"40"	""	"314"	""	"49"	""	"142"	"96"	"138"	""	"259"	""	"6179"	""	""	""	""	""	""	""	""
"257"	"6"	"1810"	""	"1670"	"186"	"42"	""	"168"	""	"39"	""	"49"	""	"774"	""	"58"	""	"87"	"52"	"104"	""	"190"	""	"5229"	""	""	""	""	""	""	""	""
"258"	"7"	"3708"	""	"2254"	"171"	"60"	""	"171"	""	"38"	""	"54"	""	"427"	""	"63"	""	"304"	"63"	"121"	""	"327"	""	"7761"	""	""	""	""	""	""	""	""
"259"	"8"	"2440"	""	"2780"	"235"	"64"	""	"71"	""	"35"	""	"46"	""	"134"	""	"44"	""	"508"	"61"	"125"	""	"208"	""	"6751"	""	""	""	""	""	""	""	""
"260"	"9"	"1853"	""	"2575"	"252"	"70"	""	"93"	""	"43"	""	"51"	""	"267"	""	"65"	""	"315"	"72"	"173"	""	"313"	""	"6142"	""	""	""	""	""	""	""	""
"261"	"10"	"2132"	""	"2392"	"262"	"102"	""	"82"	""	"54"	""	"86"	""	"460"	""	"72"	""	"385"	"89"	"161"	""	"285"	""	"6562"	""	""	""	""	""	""	""	""
"262"	"11"	"1957"	""	"1879"	"229"	"396"	""	"96"	""	"60"	""	"82"	""	"339"	""	"98"	""	"1052"	"118"	"200"	""	"361"	""	"6867"	""	""	""	""	""	""	""	""
"263"	"12"	"1873"	""	"1698"	"128"	"56"	""	"78"	""	"26"	""	"43"	""	"744"	""	"58"	""	"142"	"47"	"78"	""	"148"	""	"5119"	""	""	""	""	""	""	""	""
"264"	"13"	"2414"	""	"1567"	"186"	"77"	""	"141"	""	"40"	""	"44"	""	"244"	""	"53"	""	"207"	"65"	"124"	""	"273"	""	"5435"	""	""	""	""	""	""	""	""
"265"	"14"	"1672
1530"	""	"1759"	"199"	"74"	""	"117"	""	"39"	""	"42"	""	"481"	""	"44"	""	"127"	"59"	"140"	""	"235"	""	"4988"	""	""	""	""	""	""	""	""
"266"	"15"	""	""	"611"	"45"	"15"	""	"24"	""	"10"	""	"8"	""	"174"	""	"19"	""	"26"	"18"	"23"	""	"72"	""	"2575"	""	""	""	""	""	""	""	""
"267"	"Total"	"33694"	""	"31572"	"3479"	"1294"	""	"1497"	""	"624"	""	"714"	""	"5186"	""	"804"	""	"3958"	"1008"	"1990"	""	"3693"	""	"89513"	""	""	""	""	""	""	""	""
