"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"218"	"7"	""	"142"	""	""	"8"	""	""	"27"	""	""	"119"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"120"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"277"	""	""	""	""	""	""	"0"	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"8"	""	"143"	""	""	"12"	""	""	"181"	""	""	"18"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"82"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"13"	""	""	""	""	""	"342"	""	""	""	""	""	""	"0"	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"9"	""	"144"	""	""	"5"	""	""	"65"	""	""	"38"	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"11"	""	""	""	""	""	"273"	""	""	""	""	""	""	"0"	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"10"	""	"145"	""	""	"27"	""	""	"132"	""	""	"115"	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"99"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"414"	""	""	""	""	""	""	"0"	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"11"	""	"146"	""	""	"3"	""	""	"25"	""	""	"88"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"97"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"219"	""	""	""	""	""	""	"0"	""	""	""	""	""	"219"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"12"	""	"147"	""	""	"23"	""	""	"136"	""	""	"73"	""	""	""	"5"	""	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"25"	""	""	""	""	""	"329"	""	""	""	""	""	""	"0"	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"13"	""	"148"	""	""	"7"	""	""	"40"	""	""	"39"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"151"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"246"	""	""	""	""	""	""	"0"	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"14"	""	"149"	""	""	"8"	""	""	"36"	""	""	"564"	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"629"	""	""	""	""	""	""	"0"	""	""	""	""	""	"629"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Total"	""	""	""	""	"162"	""	""	"1379"	""	""	"1770"	""	""	""	"83"	""	""	""	""	""	"59"	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"1105"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"31"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"90"	""	""	""	""	""	"4861"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4861"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"1"	""	"150"	""	""	"2"	""	"33"	""	""	""	"339"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"386"	""	""	""	""	""	""	"0"	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"2"	""	"151"	""	""	"24"	""	"240"	""	""	""	"45"	""	""	""	"14"	""	""	""	""	"12"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"379"	""	""	""	""	""	""	"0"	""	""	""	""	""	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"3"	""	"152"	""	""	"21"	""	"277"	""	""	""	"14"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"348"	""	""	""	""	""	""	"0"	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"4"	""	"153"	""	""	"6"	""	"152"	""	""	""	"44"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"83"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"326"	""	""	""	""	""	""	"0"	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"5"	""	"154"	""	""	"4"	""	"66"	""	""	""	"153"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"242"	""	""	""	""	""	""	"0"	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"6"	""	"155"	""	""	"2"	""	"100"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"130"	""	""	""	""	""	""	"0"	""	""	""	""	""	"130"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"7"	""	"156"	""	""	"32"	""	"230"	""	""	""	"63"	""	""	""	"9"	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	"392"	""	""	""	""	""	""	"0"	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"8"	""	"157"	""	""	"25"	""	"122"	""	""	""	"10"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"194"	""	""	""	""	""	""	"0"	""	""	""	""	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"9"	""	"158"	""	""	"1"	""	"79"	""	""	""	"110"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"197"	""	""	""	""	""	""	"0"	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"10"	""	"159"	""	""	"6"	""	"163"	""	""	""	"102"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"11"	""	"160"	""	""	"2"	""	"88"	""	""	""	"202"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"325"	""	""	""	""	""	""	"0"	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"12"	""	"161"	""	""	"7"	""	"25"	""	""	""	"160"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"208"	""	""	""	""	""	""	"0"	""	""	""	""	""	"208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"13"	""	"162"	""	""	"6"	""	"191"	""	""	""	"70"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"305"	""	""	""	""	""	""	"0"	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"14"	""	"163"	""	""	"8"	""	"133"	""	""	""	"143"	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"318"	""	""	""	""	""	""	"0"	""	""	""	""	""	"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Total"	""	""	""	""	"146"	""	"1899"	""	""	""	"1461"	""	""	""	"66"	""	""	""	""	"55"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"209"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"66"	""	""	""	""	""	"4052"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4052"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"1"	""	"164"	""	""	"7"	""	"7"	""	""	""	"135"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"157"	""	""	""	""	""	""	"0"	""	""	""	""	""	"157"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"2"	""	"165"	""	""	"8"	""	"8"	""	""	""	"193"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"215"	""	""	""	""	""	""	"0"	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"3"	""	"166"	""	""	"19"	""	"196"	""	""	""	"200"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"450"	""	""	""	""	""	""	"0"	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"4"	""	"167"	""	""	"9"	""	"41"	""	""	""	"288"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"355"	""	""	""	""	""	""	"0"	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"5"	""	"168"	""	""	"9"	""	"74"	""	""	""	"137"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"236"	""	""	""	""	""	""	"0"	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"6"	""	"169"	""	""	"5"	""	"40"	""	""	""	"375"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"464"	""	""	""	""	""	""	"0"	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"7"	""	"170"	""	""	"7"	""	"100"	""	""	""	"259"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"387"	""	""	""	""	""	""	"0"	""	""	""	""	""	"387"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"8"	""	"171"	""	""	"9"	""	"64"	""	""	""	"75"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"203"	""	""	""	""	""	""	"0"	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"9"	""	"172"	""	""	"3"	""	"98"	""	""	""	"141"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"250"	""	""	""	""	""	""	"0"	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"10"	""	"173"	""	""	"18"	""	"75"	""	""	""	"360"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"507"	""	""	""	""	""	""	"0"	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"11"	""	"174"	""	""	"5"	""	"175"	""	""	""	"12"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"205"	""	""	""	""	""	""	"0"	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"12"	""	"174A"	""	""	"9"	""	"98"	""	""	""	"13"	""	""	""	"20"	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"169"	""	""	""	""	""	""	"0"	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
