"vfUre.ifj.kke.Ik."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"341"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"343"	"fiNys Ik`\"V dk ;ksx"	"27253"	"1266"	"4926"	"528"	"8866"	"351"	"989"	"288"	"455"	"1009"	"70381"	"970"	"1874"	""	""	"119156"	""
"344"	"203d"	"28"	"0"	"13"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"175"	"2"	"1"	""	""	"230"	""
"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"ernku dsUnzksa"	""	"1266"	"4939"	"529"	"8876"	"351"	"989"	"288"	"455"	"1009"	"70556"	"972"	"1875"	""	""	"119386"	""
"347"	"ij vfHkfyf[kr"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"erksa dh dqy"	"27281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Mkd eri=ksa"	""	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	""	""	"5"	""
"351"	"ij vfHkfyf[kr"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"erksa dh la[;"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Mkys x;s"	"27281"	"1266"	"4939"	"529"	"8878"	"352"	"989"	"288"	"455"	"1009"	"70558"	"972"	"1875"	""	""	"119391"	"0"
"354"	"dqy er"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"dqy Ik`\"Vksa dh la[;k 18                             Ik`\"V la[;k 18                                        lgk;d fuokZph inkf/kdkjh                           fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
