"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"361"	"188"	"251"	"14"	"117"	"69"	"10"	"4"	"5"	"82"	"2"	"2"	"10"	"18"	"584"	""	"584"	""
"362"	"189"	"179"	"23"	"188"	"78"	"42"	"13"	"2"	"23"	"3"	"8"	"3"	"12"	"574"	""	"574"	""
"363"	"190"	"232"	"10"	"32"	"6"	"26"	"1"	"2"	"5"	"2"	"0"	"1"	"5"	"322"	""	"322"	""
"364"	"191"	"195"	"58"	"191"	"32"	"10"	"1"	"4"	"10"	"1"	"8"	"8"	"7"	"525"	""	"525"	""
"365"	"192"	"246"	"67"	"35"	"39"	"27"	"3"	"4"	"17"	"10"	"9"	"8"	"11"	"476"	""	"476"	""
"366"	"193"	"194"	"22"	"76"	"7"	"133"	"2"	"6"	"10"	"10"	"9"	"2"	"5"	"476"	""	"476"	""
"367"	"194"	"141"	"14"	"207"	"103"	"47"	"8"	"5"	"67"	"7"	"7"	"4"	"6"	"616"	""	"616"	""
"368"	"195"	"288"	"129"	"27"	"21"	"14"	"4"	"2"	"5"	"1"	"3"	"5"	"5"	"504"	""	"504"	""
"369"	"196"	"348"	"27"	"228"	"16"	"5"	"1"	"5"	"6"	"1"	"3"	"3"	"9"	"652"	""	"652"	""
"370"	"Current Round Total"	"3308"	"496"	"1983"	"445"	"339"	"55"	"64"	"348"	"51"	"79"	"87"	"142"	"7397"	"0"	"7397"	"0"
"371"	"Previous Round Total"	"25325"	"18748"	"33233"	"2405"	"754"	"1125"	"1126"	"11621"	"1002"	"2500"	"1895"	"3427"	"103161"	"0"	"103161"	"0"
"372"	"TOTAL"	"28633"	"19244"	"35216"	"2850"	"1093"	"1180"	"1190"	"11969"	"1053"	"2579"	"1982"	"3569"	"110558"	"0"	"110558"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD \"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"381"	"197"	"340"	"24"	"112"	"8"	"1"	"0"	"1"	"14"	"1"	"6"	"4"	"12"	"523"	""	"523"	""
"382"	"198"	"136"	"20"	"109"	"4"	"0"	"1"	"1"	"4"	"2"	"7"	"5"	"10"	"299"	""	"299"	""
"383"	"198A"	"289"	"34"	"94"	"9"	"3"	"3"	"2"	"19"	"4"	"8"	"7"	"22"	"494"	""	"494"	""
"384"	"199"	"270"	"57"	"91"	"86"	"6"	"5"	"5"	"25"	"6"	"10"	"9"	"9"	"579"	""	"579"	""
"385"	"200"	"293"	"119"	"124"	"12"	"5"	"0"	"3"	"20"	"2"	"7"	"10"	"20"	"615"	""	"615"	""
"386"	"201"	"206"	"166"	"25"	"8"	"0"	"2"	"8"	"5"	"6"	"4"	"8"	"11"	"449"	""	"449"	""
"387"	"202"	"152"	"291"	"35"	"5"	"4"	"8"	"10"	"9"	"3"	"6"	"7"	"4"	"534"	""	"534"	""
"388"	"203"	"175"	"40"	"160"	"42"	"4"	"4"	"4"	"3"	"3"	"10"	"10"	"7"	"462"	""	"462"	""
"389"	"204"	"317"	"21"	"85"	"6"	"1"	"3"	"10"	"48"	"5"	"4"	"12"	"23"	"535"	""	"535"	""
"390"	"205"	"211"	"12"	"127"	"6"	"3"	"6"	"6"	"43"	"0"	"9"	"11"	"18"	"452"	""	"452"	""
"391"	"206"	"372"	"31"	"104"	"8"	"2"	"3"	"2"	"7"	"1"	"1"	"1"	"7"	"539"	""	"539"	""
"392"	"207"	"428"	"15"	"34"	"8"	"1"	"1"	"2"	"8"	"2"	"0"	"3"	"12"	"514"	""	"514"	""
"393"	"208"	"300"	"16"	"13"	"1"	"3"	"2"	"9"	"19"	"1"	"3"	"2"	"8"	"377"	""	"377"	""
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"Current Round Total"	"3489"	"846"	"1113"	"203"	"33"	"38"	"63"	"224"	"36"	"75"	"89"	"163"	"6372"	"0"	"6372"	"0"
"396"	"Previous Round Total"	"28633"	"19244"	"35216"	"2850"	"1093"	"1180"	"1190"	"11969"	"1053"	"2579"	"1982"	"3569"	"110558"	"0"	"110558"	"0"
"397"	"TOTAL"	"32122"	"20090"	"36329"	"3053"	"1126"	"1218"	"1253"	"12193"	"1089"	"2654"	"2071"	"3732"	"116930"	"0"	"116930"	"0"
