"Total.No..of.Electors.in.Assembly.Consitituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"271"	"156"	"e0fo0?ks?kVk if'pe Hkkx"	"142"	"57"	"201"	"19"	"2"	"1"	"1"	"5"	"1"	"2"	"2"	"3"	"15"	"10"	"12"	"473"	"473"
"272"	"157"	"iapk;r Hkou 'ksjiqj"	"93"	"10"	"318"	"85"	"4"	"1"	"1"	"8"	"5"	"4"	"2"	"5"	"9"	"3"	"10"	"558"	"558"
"273"	"158"	"dU;k ikB'kkyk 'ksjiqj"	"153"	"56"	"153"	"17"	"2"	"1"	"1"	"2"	"2"	"5"	"3"	"7"	"14"	"5"	"25"	"446"	"446"
"274"	"159"	"e0fo0fo\".kqiqjk mRrjh Hkkx"	"89"	"48"	"302"	"20"	"1"	"1"	"3"	"7"	"2"	"4"	"7"	"9"	"38"	"27"	"30"	"588"	"588"
"275"	"160"	"[kkfn xzkeks|ksx la?k Hkou fo\".kqiqjk"	"98"	"9"	"297"	"63"	"7"	"6"	"1"	"2"	"1"	"2"	"6"	"6"	"15"	"9"	"9"	"531"	"531"
"276"	"161"	"e/; fo0fo\".kqiqjk nf{k.k Hkkx"	"87"	"15"	"219"	"23"	"4"	"4"	"2"	"0"	"1"	"1"	"1"	"2"	"13"	"2"	"6"	"380"	"380"
"277"	"162"	"izk0fo0tykyiqj"	"247"	"7"	"228"	"82"	"7"	"0"	"4"	"4"	"5"	"7"	"11"	"8"	"21"	"28"	"25"	"684"	"684"
"278"	"163"	"izk0fo0 e[knwe xat"	"272"	"9"	"175"	"18"	"3"	"2"	"3"	"2"	"2"	"4"	"1"	"4"	"11"	"5"	"29"	"540"	"540"
"279"	"164"	"izk0fo0 [kyiqjk ckyk"	"102"	"6"	"206"	"10"	"29"	"0"	"0"	"3"	"4"	"1"	"6"	"2"	"15"	"6"	"41"	"431"	"431"
"280"	"165"	"jke/kkjh flag iqLrdky; [kyiqjk ckyk"	"103"	"48"	"318"	"26"	"19"	"5"	"5"	"3"	"3"	"5"	"2"	"8"	"20"	"5"	"16"	"586"	"586"
"281"	"166"	"mPp fo0[kyiqjk deky"	"161"	"11"	"268"	"46"	"6"	"0"	"1"	"3"	"4"	"1"	"2"	"2"	"25"	"5"	"16"	"551"	"551"
"282"	"167"	"izk0fo0nfj;kWo xat"	"204"	"2"	"62"	"9"	"4"	"4"	"1"	"2"	"2"	"0"	"1"	"0"	"4"	"1"	"63"	"359"	"359"
"283"	"Total"	""	"2142"	"290"	"2902"	"606"	"96"	"31"	"27"	"46"	"33"	"37"	"49"	"79"	"233"	"115"	"322"	"7008"	"7008"
"284"	"B.F."	""	"25434"	"1371"	"32280"	"4848"	"468"	"297"	"297"	"514"	"273"	"315"	"301"	"615"	"1542"	"792"	"4350"	"73697"	"73697"
"285"	"G.Total"	""	"27576"	"1661"	"35182"	"5454"	"564"	"328"	"324"	"560"	"306"	"352"	"350"	"694"	"1775"	"907"	"4672"	"80705"	"80705"
"286"	"No. and Name of Assembly Constituency - 41-Chapra."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Round No. - 15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"293"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"294"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"295"	"168"	"izk0fo0cnyiqjk IykV ua0 697 u;k Hkou"	"296"	"25"	"132"	"22"	"0"	"4"	"1"	"1"	"2"	"1"	"1"	"1"	"5"	"2"	"7"	"500"	"500"
"296"	"169"	"izk0fo0 egjktxat"	"149"	"7"	"103"	"52"	"5"	"2"	"3"	"4"	"0"	"2"	"1"	"1"	"8"	"5"	"38"	"380"	"380"
"297"	"169 A"	"izk0fo0 egjktxat"	"182"	"3"	"34"	"8"	"2"	"1"	"4"	"5"	"0"	"1"	"0"	"1"	"1"	"5"	"96"	"343"	"343"
"298"	"170"	"iapk;r Hkou egjktxat"	"262"	"21"	"172"	"41"	"3"	"3"	"2"	"1"	"8"	"1"	"2"	"4"	"12"	"7"	"85"	"624"	"624"
"299"	"171"	"izk0fo0 yksnh iqj"	"229"	"9"	"31"	"93"	"14"	"48"	"1"	"2"	"2"	"2"	"4"	"8"	"3"	"0"	"20"	"466"	"466"
"300"	"172"	"e0fo0fpjkUn mRrjh Hkkx"	"48"	"5"	"226"	"28"	"4"	"3"	"3"	"11"	"1"	"2"	"2"	"3"	"18"	"6"	"3"	"363"	"363"
"301"	"172 A"	"e0fo0fpjkUn mRrjh Hkkx"	"127"	"5"	"122"	"27"	"3"	"5"	"2"	"5"	"1"	"6"	"1"	"3"	"2"	"3"	"24"	"336"	"336"
"302"	"173"	"e0fo0fpjkUn nf{k.k Hkkx"	"88"	"3"	"108"	"160"	"11"	"5"	"2"	"4"	"2"	"3"	"3"	"6"	"7"	"10"	"8"	"420"	"420"
"303"	"174"	"mPp fo0/keZiqjk jlyiqjk"	"200"	"15"	"193"	"12"	"1"	"25"	"2"	"5"	"2"	"1"	"2"	"7"	"20"	"12"	"22"	"519"	"519"
"304"	"175"	"iapk;r Hkou fpjkUn"	"82"	"1"	"80"	"29"	"8"	"14"	"2"	"4"	"2"	"2"	"2"	"3"	"4"	"3"	"9"	"245"	"245"
"305"	"176"	"izk0fo0jlyiqjk"	"61"	"4"	"193"	"126"	"8"	"4"	"0"	"2"	"5"	"1"	"1"	"18"	"47"	"17"	"21"	"508"	"508"
"306"	"177"	"izk0fo0 HkSjksiqj futker"	"110"	"5"	"378"	"13"	"5"	"3"	"4"	"6"	"4"	"23"	"4"	"6"	"21"	"15"	"27"	"624"	"624"
"307"	"178"	"izk0fo0 nQrj iqj"	"177"	"11"	"256"	"49"	"3"	"3"	"2"	"5"	"5"	"5"	"0"	"4"	"9"	"8"	"9"	"546"	"546"
"308"	"179"	"izk0 fo0 nQrj iqj e/; Hkkx"	"66"	"5"	"26"	"85"	"4"	"1"	"1"	"0"	"3"	"3"	"4"	"5"	"1"	"3"	"13"	"220"	"220"
"309"	"Total"	""	"2077"	"119"	"2054"	"745"	"71"	"121"	"29"	"55"	"37"	"53"	"27"	"70"	"158"	"96"	"382"	"6094"	"6094"
"310"	"B.F"	""	"27576"	"1661"	"35182"	"5454"	"564"	"328"	"324"	"560"	"306"	"352"	"350"	"694"	"1775"	"907"	"4672"	"80705"	"80705"
"311"	"G.Total"	""	"29653"	"1780"	"37236"	"6199"	"635"	"449"	"353"	"615"	"343"	"405"	"377"	"764"	"1933"	"1003"	"5054"	"86799"	"86799"
"312"	"No. and Name of Assembly Constituency - 41-Chapra."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Round No. - 16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"319"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"320"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"321"	"180"	"izk0fo0 nQrj iqj nf{k.k Hkkx"	"134"	"8"	"106"	"28"	"3"	"3"	"1"	"4"	"4"	"2"	"4"	"6"	"13"	"8"	"25"	"349"	"349"
"322"	"180 A"	"izk0fo0 nQrj iqj nf{k.k Hkkx"	"83"	"7"	"113"	"53"	"1"	"1"	"0"	"1"	"24"	"2"	"1"	"6"	"13"	"0"	"13"	"318"	"318"
"323"	"181"	"gfjtu izk0fo0 [okliqj"	"240"	"6"	"109"	"58"	"3"	"7"	"2"	"4"	"7"	"4"	"9"	"10"	"19"	"16"	"48"	"542"	"542"
"324"	"182"	"izk0fo0 Mksjh xat"	"220"	"7"	"231"	"36"	"5"	"3"	"3"	"7"	"1"	"19"	"1"	"9"	"18"	"16"	"28"	"604"	"604"
"325"	"183"	"izk0fo0 dkthiqj iwohZ Hkkx"	"241"	"4"	"63"	"45"	"1"	"11"	"1"	"4"	"0"	"0"	"4"	"3"	"11"	"3"	"23"	"414"	"414"
"326"	"184"	"izk0fo0 dkthiqj if'pe Hkkx"	"225"	"10"	"51"	"104"	"10"	"5"	"2"	"1"	"1"	"2"	"2"	"17"	"9"	"7"	"28"	"474"	"474"
"327"	"185"	"izk0fo0 ekuksiqj tgkWaxhj   iwohZ Hkkx"	"264"	"7"	"94"	"27"	"1"	"4"	"1"	"2"	"0"	"4"	"0"	"2"	"3"	"6"	"10"	"425"	"425"
"328"	"186"	"izk0fo0 ekuksiqj tgkWaxhj if'pe Hkkx"	"300"	"8"	"75"	"106"	"4"	"0"	"3"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"4"	"508"	"508"
"329"	"187"	"izkFkfed fo0 nf{k.k Hkkx tykyiqj"	"393"	"11"	"92"	"60"	"4"	"4"	"0"	"3"	"2"	"10"	"4"	"9"	"19"	"14"	"72"	"697"	"697"
"330"	"188"	"izk0fo0 mRrjh Hkkx tykyiqj"	"182"	"10"	"57"	"83"	"7"	"4"	"1"	"3"	"0"	"4"	"1"	"7"	"11"	"3"	"53"	"426"	"426"
"331"	"188 A"	"izk0fo0 mRrjh Hkkx tykyiqj"	"80"	"3"	"145"	"13"	"1"	"5"	"1"	"1"	"0"	"22"	"0"	"7"	"13"	"5"	"16"	"312"	"312"
"332"	"189"	"ckfydk izk0fo0jlwyiqj fVdqfy;k Vksyk m0Hkkx"	"250"	"59"	"57"	"30"	"6"	"4"	"2"	"3"	"1"	"5"	"3"	"9"	"6"	"6"	"17"	"458"	"458"
"333"	"190"	"ckfydk izk0fo0jlwyiqj fVdqfy;k Vksyk n0Hkkx"	"262"	"10"	"112"	"8"	"2"	"2"	"3"	"8"	"1"	"1"	"2"	"3"	"13"	"7"	"14"	"448"	"448"
"334"	"191"	"e0fo0 Mwejh iwoh Hkkx"	"30"	"7"	"338"	"36"	"2"	"5"	"1"	"6"	"1"	"6"	"2"	"11"	"33"	"14"	"18"	"510"	"510"
"335"	"Total"	""	"2904"	"157"	"1643"	"687"	"50"	"58"	"21"	"48"	"42"	"82"	"33"	"105"	"181"	"105"	"369"	"6485"	"6485"
"336"	"B.F"	""	"29653"	"1780"	"37236"	"6199"	"635"	"449"	"353"	"615"	"343"	"405"	"377"	"764"	"1933"	"1003"	"5054"	"86799"	"86799"
"337"	"G.Total"	""	"32557"	"1937"	"38879"	"6886"	"685"	"507"	"374"	"663"	"385"	"487"	"410"	"869"	"2114"	"1108"	"5423"	"93284"	"93284"
"338"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"339"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"340"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"341"	"192"	"e0fo0 Mwejh if'pe Hkkx"	"10"	"13"	"324"	"62"	"5"	"1"	"1"	"6"	"3"	"0"	"5"	"14"	"28"	"14"	"23"	"509"	"509"
"342"	"193"	"izk0fo0 flaxgh mRrj Hkkx"	"477"	"22"	"31"	"44"	"8"	"2"	"0"	"3"	"3"	"2"	"5"	"10"	"11"	"9"	"51"	"678"	"678"
"343"	"194"	"izk0fo0 flaxgh nf{k.k Hkkx"	"159"	"7"	"42"	"89"	"6"	"0"	"0"	"0"	"2"	"3"	"0"	"10"	"11"	"7"	"25"	"361"	"361"
"344"	"195"	"eqLlsiqj MkdckWxyk"	"417"	"11"	"14"	"35"	"2"	"3"	"2"	"0"	"1"	"0"	"2"	"3"	"9"	"3"	"25"	"527"	"527"
"345"	"196"	"dU;k fo0 eqLlsiqj"	"72"	"15"	"254"	"8"	"0"	"1"	"2"	"8"	"1"	"2"	"0"	"3"	"23"	"1"	"2"	"392"	"392"
"346"	"197"	"izk0fo0 da'kfn;jk mRrjh Hkkx"	"224"	"12"	"78"	"5"	"1"	"3"	"0"	"2"	"21"	"0"	"2"	"7"	"20"	"7"	"41"	"423"	"423"
"347"	"198"	"izk0fo0 da'kfn;jk nf{k.k Hkkx"	"310"	"13"	"24"	"15"	"3"	"2"	"0"	"2"	"1"	"1"	"1"	"5"	"8"	"7"	"127"	"519"	"519"
"348"	"199"	"izk0fo0 jkeiqj fouxkWok"	"279"	"19"	"37"	"138"	"7"	"13"	"1"	"1"	"1"	"2"	"5"	"14"	"12"	"9"	"38"	"576"	"576"
"349"	"200"	"izk0fo0 cyou Vksyk mRrjh Hkkx"	"268"	"11"	"59"	"46"	"9"	"12"	"2"	"4"	"4"	"2"	"4"	"8"	"6"	"5"	"20"	"460"	"460"
"350"	"201"	"izk0fo0 cyou Vksyk nf{k.kh Hkkx"	"326"	"6"	"42"	"9"	"0"	"3"	"0"	"2"	"2"	"1"	"3"	"8"	"13"	"3"	"71"	"489"	"489"
"351"	"202"	"mPp fo0 jkeiqj lcy iqj ds izkxa.k esa p-e-e-"	"186"	"8"	"97"	"116"	"12"	"8"	"4"	"7"	"3"	"4"	"6"	"14"	"11"	"13"	"36"	"525"	"525"
"352"	"203"	"e0 fo0dksVokiV~Vh jkeiqj esa ck;kW Hkkx"	"67"	"5"	"133"	"30"	"5"	"4"	"2"	"5"	"2"	"3"	"3"	"3"	"21"	"8"	"19"	"310"	"310"
"353"	"203 A"	"e0 fo0dksVokiV~Vh jkeiqj nk;k HkkxA"	"38"	"7"	"207"	"18"	"2"	"0"	"1"	"0"	"1"	"4"	"2"	"3"	"12"	"4"	"4"	"303"	"303"
"354"	"204"	"izk0 fo0 dqrqciqj mRrjh Hkkx"	"183"	"12"	"59"	"70"	"8"	"3"	"1"	"5"	"5"	"4"	"3"	"22"	"18"	"16"	"52"	"461"	"461"
"355"	"Total"	""	"3016"	"161"	"1401"	"685"	"68"	"55"	"16"	"45"	"50"	"28"	"41"	"124"	"203"	"106"	"534"	"6533"	"6533"
"356"	"B.F"	""	"32557"	"1937"	"38879"	"6886"	"685"	"507"	"374"	"663"	"385"	"487"	"410"	"869"	"2114"	"1108"	"5423"	"93284"	"93284"
"357"	"G.Total"	""	"35573"	"2098"	"40280"	"7571"	"753"	"562"	"390"	"708"	"435"	"515"	"451"	"993"	"2317"	"1214"	"5957"	"99817"	"99817"
"358"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"359"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"360"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"361"	"204 A 1"	"izk0 fo0 dqrqciqj mRrjh Hkkx"	"178"	"3"	"11"	"23"	"2"	"1"	"0"	"1"	"2"	"2"	"3"	"4"	"6"	"4"	"14"	"254"	"254"
"362"	"205"	"fHk[kkjh vkJe] dqrqciqj"	"145"	"12"	"62"	"117"	"19"	"5"	"3"	"4"	"4"	"1"	"10"	"19"	"10"	"17"	"35"	"463"	"463"
"363"	"206"	"p0e0e0 IykSV ua0 104 f'kofn;jh njksxk jk; ds edku"	"45"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"52"	"52"
"364"	"207"	"iapk;r Hkou lsefj;k egkft"	"430"	"11"	"6"	"33"	"0"	"3"	"0"	"3"	"5"	"1"	"0"	"3"	"3"	"3"	"9"	"510"	"510"
"365"	"208"	"izk0fo0lcy jk; ds Vksyk"	"372
1170"	"17
45"	"9
91"	"27
200"	"3
24"	"2
11"	"1
4"	"2
11"	"6
17"	"2
6"	"2
15"	"2
28"	"4
23"	"3
27"	"13
72"	"465"	"465
1744"
"366"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1744"	""
"367"	"B.F"	""	"35573"	"2098"	"40280"	"7571"	"753"	"562"	"390"	"708"	"435"	"515"	"451"	"993"	"2317"	"1214"	"5957"	"99817"	"99817"
"368"	"Postal Ballot"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"G.Total"	""	"36743"	"2143"	"40371"	"7771"	"777"	"573"	"394"	"719"	"452"	"521"	"466"	"1021"	"2340"	"1241"	"6029"	"101561"	"101561"
"370"	"Assistant Returning Officer                                                                                          Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"41- Chapra."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
