"Total.No..of.Electors.in.Assembly.Constituency...200284"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"347"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"353"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"354"	"Total"	"5268"	"39147"	"10687"	"38228"	"1515"	"919"	"865"	"900"	"955"	"770"	"667"	"1126"	"3487"	"104534"	"0"	"104534"	"0"	""
"355"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"356"	"Grand Tot."	"5268"	"39147"	"10687"	"38228"	"1515"	"919"	"865"	"900"	"955"	"770"	"667"	"1126"	"3487"	"104534"	"0"	"104534"	"0"	""
"357"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
