"SI.No.of.Polling.Station"	"X."	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"TOTAL.NO..OF.VALID.VOTES"	"X..25"	"X..26"	"No.fo.Rejected.Votes"	"X..27"	"X..28"	"Total"	"X..29"	"X..30"	"X..31"	"No..of.Tendered.Votes"	"X..32"	"X..33"	"X..34"
"214"	"143"	"80"	""	"21"	""	"115"	""	"42"	""	"10"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"1"	""	""	"271"	""	""	"0"	""	""	"271"	""	""	""	"0"	""	""	""	""	""
"215"	"144"	"114"	""	"53"	""	"18"	""	"250"	""	"6"	""	"3"	""	"3"	""	"14"	""	"6"	""	"8"	""	""	"12"	""	""	"487"	""	""	"0"	""	""	"487"	""	""	""	"0"	""	""	""	""	""
"216"	"145"	"137"	""	"22"	""	"1"	""	"51"	""	"7"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	""	"2"	""	""	"224"	""	""	"0"	""	""	"224"	""	""	""	"0"	""	""	""	""	""
"217"	"146"	"63"	""	"34"	""	"102"	""	"189"	""	"24"	""	"3"	""	"0"	""	"6"	""	"4"	""	"2"	""	""	"9"	""	""	"436"	""	""	"0"	""	""	"436"	""	""	""	"0"	""	""	""	""	""
"218"	"147"	"241"	""	"61"	""	"17"	""	"65"	""	"4"	""	"1"	""	"3"	""	"8"	""	"7"	""	"1"	""	""	"13"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	"0"	""	""	""	""	""
"219"	"148"	"49"	""	"39"	""	"67"	""	"229"	""	"14"	""	"2"	""	"3"	""	"6"	""	"10"	""	"0"	""	""	"15"	""	""	"434"	""	""	"0"	""	""	"434"	""	""	""	"0"	""	""	""	""	""
"220"	"149"	"173"	""	"92"	""	"30"	""	"33"	""	"6"	""	"3"	""	"1"	""	"2"	""	"4"	""	"2"	""	""	"7"	""	""	"353"	""	""	"0"	""	""	"353"	""	""	""	"0"	""	""	""	""	""
"221"	"150"	"73"	""	"90"	""	"2"	""	"11"	""	"1"	""	"5"	""	"1"	""	"2"	""	"3"	""	"4"	""	""	"5"	""	""	"197"	""	""	"0"	""	""	"197"	""	""	""	"0"	""	""	""	""	""
"222"	"151"	"209"	""	"58"	""	"12"	""	"103"	""	"4"	""	"6"	""	"1"	""	"2"	""	"1"	""	"5"	""	""	"8"	""	""	"409"	""	""	"0"	""	""	"409"	""	""	""	"0"	""	""	""	""	""
"223"	"152"	"181"	""	"35"	""	"42"	""	"184"	""	"19"	""	"10"	""	"3"	""	"15"	""	"5"	""	"7"	""	""	"12"	""	""	"513"	""	""	"0"	""	""	"513"	""	""	""	"0"	""	""	""	""	""
"224"	"153"	"21"	""	"16"	""	"39"	""	"265"	""	"25"	""	"2"	""	"3"	""	"13"	""	"2"	""	"1"	""	""	"5"	""	""	"392"	""	""	"0"	""	""	"392"	""	""	""	"0"	""	""	""	""	""
"225"	"TOTAL"	"1679"	""	"608"	""	"480"	""	"1976"	""	"139"	""	"49"	""	"28"	""	"90"	""	"54"	""	"43"	""	""	"99"	""	""	"5245"	""	""	"0"	""	""	"5245"	""	""	""	"0"	""	""	""	""	""
"226"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No of Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendered Votes"	""	""	""	""	""
"227"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"229"	"154"	"81"	""	"29"	""	"29"	""	"100"	""	"23"	""	"16"	""	"3"	""	"7"	""	"2"	""	"2"	""	""	"9"	""	""	"301"	""	""	"0"	""	""	"301"	""	""	""	"0"	""	""	""	""	""
"230"	"155"	"147"	""	"114"	""	"33"	""	"107"	""	"14"	""	"31"	""	"5"	""	"14"	""	"8"	""	"12"	""	""	"22"	""	""	"507"	""	""	"0"	""	""	"507"	""	""	""	"0"	""	""	""	""	""
"231"	"156"	"171"	""	"99"	""	"15"	""	"179"	""	"2"	""	"4"	""	"1"	""	"4"	""	"0"	""	"1"	""	""	"21"	""	""	"497"	""	""	"0"	""	""	"497"	""	""	""	"0"	""	""	""	""	""
"232"	"157"	"96"	""	"33"	""	"46"	""	"139"	""	"10"	""	"4"	""	"4"	""	"6"	""	"2"	""	"2"	""	""	"6"	""	""	"348"	""	""	"0"	""	""	"348"	""	""	""	"0"	""	""	""	""	""
"233"	"158"	"29"	""	"64"	""	"15"	""	"118"	""	"11"	""	"3"	""	"5"	""	"5"	""	"2"	""	"3"	""	""	"6"	""	""	"261"	""	""	"0"	""	""	"261"	""	""	""	"0"	""	""	""	""	""
"234"	"159"	"198"	""	"34"	""	"50"	""	"88"	""	"8"	""	"5"	""	"4"	""	"5"	""	"2"	""	"3"	""	""	"24"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	"0"	""	""	""	""	""
"235"	"160"	"17"	""	"23"	""	"25"	""	"200"	""	"29"	""	"5"	""	"1"	""	"3"	""	"3"	""	"0"	""	""	"3"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	"0"	""	""	""	""	""
"236"	"161"	"31"	""	"12"	""	"59"	""	"185"	""	"18"	""	"2"	""	"4"	""	"0"	""	"1"	""	"0"	""	""	"2"	""	""	"314"	""	""	"0"	""	""	"314"	""	""	""	"0"	""	""	""	""	""
"237"	"162"	"41"	""	"15"	""	"51"	""	"146"	""	"10"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	""	"1"	""	""	"267"	""	""	"0"	""	""	"267"	""	""	""	"0"	""	""	""	""	""
"238"	"163"	"120"	""	"9"	""	"13"	""	"35"	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"183"	""	""	"0"	""	""	"183"	""	""	""	"0"	""	""	""	""	""
"239"	"164"	"172"	""	"58"	""	"18"	""	"126"	""	"37"	""	"3"	""	"2"	""	"3"	""	"1"	""	"2"	""	""	"3"	""	""	"425"	""	""	"0"	""	""	"425"	""	""	""	"0"	""	""	""	""	""
"240"	"165"	"30"	""	"52"	""	"38"	""	"138"	""	"7"	""	"0"	""	"1"	""	"7"	""	"1"	""	"1"	""	""	"3"	""	""	"278"	""	""	"0"	""	""	"278"	""	""	""	"0"	""	""	""	""	""
"241"	"165 A"	"145"	""	"69"	""	"11"	""	"24"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"4"	""	""	"259"	""	""	"0"	""	""	"259"	""	""	""	"0"	""	""	""	""	""
"242"	"166"	"51"	""	"3"	""	"0"	""	"173"	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	""	"235"	""	""	"0"	""	""	"235"	""	""	""	"0"	""	""	""	""	""
"243"	"TOTAL"	"1329"	""	"614"	""	"403"	""	"1758"	""	"184"	""	"74"	""	"30"	""	"55"	""	"24"	""	"29"	""	""	"105"	""	""	"4605"	""	""	"0"	""	""	"4605"	""	""	""	"0"	""	""	""	""	""
"244"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"245"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"247"	"167"	"5"	""	"1"	""	"11"	""	"91"	""	"35"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"0"	""	""	"144"	""	""	"0"	""	""	"144"	""	""	""	"0"	""	""	""	""	""
"248"	"168"	"170"	""	"18"	""	"58"	""	"76"	""	"10"	""	"2"	""	"2"	""	"5"	""	"1"	""	"3"	""	""	"4"	""	""	"349"	""	""	"0"	""	""	"349"	""	""	""	"0"	""	""	""	""	""
"249"	"169"	"41"	""	"16"	""	"8"	""	"251"	""	"40"	""	"1"	""	"5"	""	"14"	""	"2"	""	"3"	""	""	"6"	""	""	"387"	""	""	"0"	""	""	"387"	""	""	""	"0"	""	""	""	""	""
"250"	"170"	"26"	""	"6"	""	"10"	""	"72"	""	"15"	""	"0"	""	"0"	""	"2"	""	"0"	""	"2"	""	""	"4"	""	""	"137"	""	""	"0"	""	""	"137"	""	""	""	"0"	""	""	""	""	""
"251"	"171"	"61"	""	"79"	""	"44"	""	"101"	""	"12"	""	"6"	""	"5"	""	"17"	""	"5"	""	"11"	""	""	"27"	""	""	"368"	""	""	"0"	""	""	"368"	""	""	""	"0"	""	""	""	""	""
"252"	"172"	"56"	""	"72"	""	"33"	""	"41"	""	"34"	""	"4"	""	"0"	""	"8"	""	"4"	""	"2"	""	""	"6"	""	""	"260"	""	""	"0"	""	""	"260"	""	""	""	"0"	""	""	""	""	""
"253"	"173"	"111"	""	"30"	""	"13"	""	"142"	""	"17"	""	"2"	""	"3"	""	"2"	""	"3"	""	"3"	""	""	"9"	""	""	"335"	""	""	"0"	""	""	"335"	""	""	""	"0"	""	""	""	""	""
"254"	"174"	"391"	""	"19"	""	"5"	""	"85"	""	"4"	""	"1"	""	"2"	""	"1"	""	"2"	""	"0"	""	""	"0"	""	""	"510"	""	""	"0"	""	""	"510"	""	""	""	"0"	""	""	""	""	""
"255"	"175"	"99"	""	"52"	""	"26"	""	"48"	""	"9"	""	"1"	""	"5"	""	"1"	""	"6"	""	"2"	""	""	"11"	""	""	"260"	""	""	"0"	""	""	"260"	""	""	""	"0"	""	""	""	""	""
"256"	"176"	"84"	""	"61"	""	"6"	""	"77"	""	"10"	""	"3"	""	"0"	""	"4"	""	"3"	""	"6"	""	""	"8"	""	""	"262"	""	""	"0"	""	""	"262"	""	""	""	"0"	""	""	""	""	""
"257"	"177"	"51"	""	"74"	""	"13"	""	"92"	""	"14"	""	"2"	""	"0"	""	"2"	""	"2"	""	"1"	""	""	"8"	""	""	"259"	""	""	"0"	""	""	"259"	""	""	""	"0"	""	""	""	""	""
"258"	"178"	"114"	""	"25"	""	"42"	""	"124"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"0"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	""	"0"	""	""	""	""	""
"259"	"178 A"	"133"	""	"11"	""	"3"	""	"61"	""	"3"	""	"1"	""	"0"	""	"3"	""	"1"	""	"0"	""	""	"0"	""	""	"216"	""	""	"0"	""	""	"216"	""	""	""	"0"	""	""	""	""	""
"260"	"179"	"256"	""	"139"	""	"29"	""	"44"	""	"30"	""	"2"	""	"4"	""	"4"	""	"6"	""	"3"	""	""	"11"	""	""	"528"	""	""	"0"	""	""	"528"	""	""	""	"0"	""	""	""	""	""
"261"	"TOTAL"	"1598"	""	"603"	""	"301"	""	"1305"	""	"233"	""	"25"	""	"26"	""	"63"	""	"36"	""	"38"	""	""	"94"	""	""	"4322"	""	""	"0"	""	""	"4322"	""	""	""	"0"	""	""	""	""	""
"262"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"263"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"265"	"180"	"50"	""	"13"	""	"36"	""	"113"	""	"62"	""	"4"	""	"3"	""	"18"	""	"3"	""	"5"	""	""	"6"	""	""	"313"	""	""	"0"	""	""	"313"	""	""	""	"0"	""	""	""	""	""
"266"	"181"	"141"	""	"43"	""	"31"	""	"95"	""	"72"	""	"4"	""	"6"	""	"11"	""	"5"	""	"2"	""	""	"5"	""	""	"415"	""	""	"0"	""	""	"415"	""	""	""	"0"	""	""	""	""	""
"267"	"182"	"170"	""	"19"	""	"21"	""	"53"	""	"7"	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	""	"8"	""	""	"283"	""	""	"0"	""	""	"283"	""	""	""	"0"	""	""	""	""	""
"268"	"183"	"49"	""	"102"	""	"26"	""	"63"	""	"13"	""	"8"	""	"3"	""	"7"	""	"11"	""	"6"	""	""	"12"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	"0"	""	""	""	""	""
"269"	"184"	"23"	""	"48"	""	"40"	""	"70"	""	"6"	""	"2"	""	"6"	""	"6"	""	"3"	""	"3"	""	""	"14"	""	""	"221"	""	""	"0"	""	""	"221"	""	""	""	"0"	""	""	""	""	""
"270"	"185"	"140"	""	"21"	""	"32"	""	"85"	""	"7"	""	"4"	""	"3"	""	"7"	""	"5"	""	"7"	""	""	"18"	""	""	"329"	""	""	"0"	""	""	"329"	""	""	""	"0"	""	""	""	""	""
"271"	"186"	"104"	""	"9"	""	"12"	""	"159"	""	"14"	""	"2"	""	"7"	""	"9"	""	"9"	""	"9"	""	""	"19"	""	""	"353"	""	""	"0"	""	""	"353"	""	""	""	"0"	""	""	""	""	""
"272"	"187"	"105"	""	"39"	""	"4"	""	"83"	""	"35"	""	"2"	""	"1"	""	"13"	""	"1"	""	"2"	""	""	"11"	""	""	"296"	""	""	"0"	""	""	"296"	""	""	""	"0"	""	""	""	""	""
"273"	"188"	"53"	""	"28"	""	"28"	""	"167"	""	"18"	""	"8"	""	"9"	""	"15"	""	"17"	""	"10"	""	""	"28"	""	""	"381"	""	""	"0"	""	""	"381"	""	""	""	"0"	""	""	""	""	""
"274"	"189"	"50"	""	"41"	""	"49"	""	"80"	""	"32"	""	"7"	""	"6"	""	"21"	""	"12"	""	"9"	""	""	"27"	""	""	"334"	""	""	"0"	""	""	"334"	""	""	""	"0"	""	""	""	""	""
"275"	"190"	"32"	""	"14"	""	"32"	""	"184"	""	"16"	""	"0"	""	"0"	""	"9"	""	"4"	""	"4"	""	""	"5"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	"0"	""	""	""	""	""
"276"	"190 A"	"19"	""	"92"	""	"7"	""	"164"	""	"14"	""	"1"	""	"4"	""	"10"	""	"2"	""	"3"	""	""	"13"	""	""	"329"	""	""	"0"	""	""	"329"	""	""	""	"0"	""	""	""	""	""
"277"	"191"	"88"	""	"77"	""	"26"	""	"137"	""	"13"	""	"6"	""	"4"	""	"7"	""	"8"	""	"6"	""	""	"22"	""	""	"394"	""	""	"0"	""	""	"394"	""	""	""	"0"	""	""	""	""	""
"278"	"191 A"	"5"	""	"44"	""	"10"	""	"49"	""	"2"	""	"1"	""	"1"	""	"5"	""	"0"	""	"2"	""	""	"1"	""	""	"120"	""	""	"0"	""	""	"120"	""	""	""	"0"	""	""	""	""	""
"279"	"TOTAL"	"1029"	""	"590"	""	"354"	""	"1502"	""	"311"	""	"50"	""	"54"	""	"139"	""	"81"	""	"69"	""	""	"189"	""	""	"4368"	""	""	"0"	""	""	"4368"	""	""	""	"0"	""	""	""	""	""
"280"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"281"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"283"	"192"	"59"	""	"151"	""	"55"	""	"106"	""	"8"	""	"5"	""	"5"	""	"14"	""	"7"	""	"9"	""	""	"25"	""	""	"444"	""	""	"0"	""	""	"444"	""	""	""	"0"	""	""	""	""	""
"284"	"193"	"193"	""	"38"	""	"1"	""	"62"	""	"1"	""	"2"	""	"1"	""	"3"	""	"0"	""	"3"	""	""	"5"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	"0"	""	""	""	""	""
"285"	"193 A"	"69"	""	"32"	""	"1"	""	"52"	""	"1"	""	"2"	""	"1"	""	"4"	""	"3"	""	"5"	""	""	"6"	""	""	"176"	""	""	"0"	""	""	"176"	""	""	""	"0"	""	""	""	""	""
"286"	"194"	"75"	""	"57"	""	"27"	""	"268"	""	"12"	""	"2"	""	"4"	""	"21"	""	"2"	""	"1"	""	""	"9"	""	""	"478"	""	""	"0"	""	""	"478"	""	""	""	"0"	""	""	""	""	""
"287"	"195"	"113"	""	"20"	""	"9"	""	"101"	""	"3"	""	"2"	""	"5"	""	"7"	""	"1"	""	"5"	""	""	"13"	""	""	"279"	""	""	"0"	""	""	"279"	""	""	""	"0"	""	""	""	""	""
"288"	"196"	"153"	""	"72"	""	"85"	""	"138"	""	"24"	""	"6"	""	"8"	""	"15"	""	"4"	""	"5"	""	""	"22"	""	""	"532"	""	""	"0"	""	""	"532"	""	""	""	"0"	""	""	""	""	""
"289"	"197"	"233"	""	"87"	""	"83"	""	"73"	""	"19"	""	"7"	""	"6"	""	"12"	""	"12"	""	"12"	""	""	"19"	""	""	"563"	""	""	"0"	""	""	"563"	""	""	""	"0"	""	""	""	""	""
"290"	"198"	"312"	""	"94"	""	"7"	""	"80"	""	"10"	""	"7"	""	"1"	""	"9"	""	"1"	""	"3"	""	""	"8"	""	""	"532"	""	""	"0"	""	""	"532"	""	""	""	"0"	""	""	""	""	""
"291"	"TOTAL"	"1207"	""	"551"	""	"268"	""	"880"	""	"78"	""	"33"	""	"31"	""	"85"	""	"30"	""	"43"	""	""	"107"	""	""	"3313"	""	""	"0"	""	""	"3313"	""	""	""	"0"	""	""	""	""	""
"292"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"221 RAFIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
