"No..and.Name.of.Assembly.Constituency...........45..Hajipur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"414"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"415"	"201K"	"420"	"6"	"118"	"57"	"218"	"9"	"4"	"3"	"5"	"420"	"0"	"420"	"0"
"416"	"202"	"595"	"23"	"132"	"56"	"344"	"13"	"12"	"9"	"6"	"595"	"0"	"595"	"0"
"417"	"203"	"553"	"32"	"349"	"69"	"59"	"5"	"9"	"11"	"19"	"553"	"0"	"553"	"0"
"418"	"204"	"455"	"8"	"359"	"19"	"56"	"0"	"1"	"9"	"3"	"455"	"0"	"455"	"0"
"419"	"205"	"479"	"11"	"217"	"69"	"137"	"5"	"7"	"18"	"15"	"479"	"0"	"479"	"0"
"420"	"206"	"583"	"18"	"121"	"131"	"254"	"28"	"3"	"9"	"19"	"583"	"0"	"583"	"0"
"421"	"207"	"618"	"9"	"207"	"73"	"296"	"1"	"8"	"15"	"9"	"618"	"0"	"618"	"0"
"422"	"208"	"241"	"16"	"79"	"74"	"40"	"13"	"6"	"6"	"7"	"241"	"0"	"241"	"0"
"423"	"209"	"344"	"9"	"192"	"76"	"45"	"7"	"1"	"2"	"12"	"344"	"0"	"344"	"0"
"424"	"210"	"452"	"12"	"192"	"12"	"207"	"9"	"4"	"4"	"12"	"452"	"0"	"452"	"0"
"425"	"211"	"402"	"10"	"38"	"33"	"287"	"17"	"8"	"2"	"7"	"402"	"0"	"402"	"0"
"426"	"212"	"541"	"15"	"176"	"41"	"273"	"13"	"6"	"8"	"9"	"541"	"0"	"541"	"0"
"427"	"213"	"511"	"12"	"141"	"102"	"215"	"13"	"9"	"3"	"16"	"511"	"0"	"511"	"0"
"428"	"214"	"506"	"7"	"27"	"3"	"420"	"21"	"4"	"7"	"17"	"506"	"0"	"506"	"0"
"429"	"Grand Total"	"6700"	"188"	"2348"	"815"	"2851"	"154"	"82"	"106"	"156"	"6700"	"0"	"6700"	"0"
"430"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"431"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"432"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"Round No.  :-    19"	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"436"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"437"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"438"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"439"	"215"	"454"	"20"	"83"	"26"	"291"	"12"	"6"	"9"	"7"	"454"	"0"	"454"	"0"
"440"	"216"	"303"	"10"	"10"	"13"	"247"	"5"	"11"	"2"	"5"	"303"	"0"	"303"	"0"
"441"	"217"	"285"	"15"	"75"	"40"	"124"	"5"	"5"	"3"	"18"	"285"	"0"	"285"	"0"
"442"	"Grand Total"	"1042"	"45"	"168"	"79"	"662"	"22"	"22"	"14"	"30"	"1042"	"0"	"1042"	"0"
"443"	"Total No. of Votes recorded of polling stations"	""	"2750"	"47757"	"19080"	"32502"	"1895"	"1362"	"1325"	"2390"	"109061"	"0"	"109061"	"0"
"444"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"0"
"445"	"Total Votes Polled"	""	"2750"	"47760"	"19081"	"32502"	"1895"	"1362"	"1325"	"2390"	"109065"	"0"	"109065"	"0"
"446"	"Place :- Hajipur Date :-  22.11.05"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"447"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"448"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"45- Hajipur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
