"X..See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.188...PATNA.WEST.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"
"514"	"180A"	""	"9"	""	""	""	"5"	""	""	""	""	""	"305"	""	""	""	""	"16"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"181"	""	"1"	""	""	""	"24"	""	""	""	""	""	"269"	""	""	""	""	"55"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"Total"	""	"84"	""	""	""	"166"	""	""	""	""	""	"4017"	""	""	""	""	"559"	""	""	""	"265"	""	""	""	""	"13"	""	""	""	""	""	"28"	""	""	""	""	""	"11"	""	""	""	""	"17"	""	""	""	""	"14"	""	""	""	""	""	""	"122"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"57"	""	""	""	""	""	"5372"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5372"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"Till last round"	""	"-911"	""	""	""	"-829"	""	""	""	""	""	"-63047"	""	""	""	""	"-16031"	""	""	""	"-4963"	""	""	""	""	"-339"	""	""	""	""	""	"-248"	""	""	""	""	""	"-289"	""	""	""	""	"-632"	""	""	""	""	"-260"	""	""	""	""	""	""	"-1812"	""	""	""	""	""	"-317"	""	""	""	""	""	""	""	"-733"	""	""	""	""	""	"-90411"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"-90411"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"Grand Total"	""	"995"	""	""	""	"995"	""	""	""	""	""	"67064"	""	""	""	""	"16590"	""	""	""	"5228"	""	""	""	""	"352"	""	""	""	""	""	"276"	""	""	""	""	""	"300"	""	""	""	""	"649"	""	""	""	""	"274"	""	""	""	""	""	""	"1934"	""	""	""	""	""	"336"	""	""	""	""	""	""	""	"790"	""	""	""	""	""	"95783"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"95783"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"( Signature & Seal)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 188 - PATNA WEST ASSEMBLY CONSTITUNECY
ROUND-23
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"Serial no. of polling station"	""	"Anita Kumari"	""	""	""	"Ashok Kumar
Yadav"	""	""	""	""	""	"Navin Kishor Pd.
Sinha"	""	""	""	""	"Rajesh Kumar
Sinha"	""	""	""	"Satyanand Sharma"	""	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	"Shila Devi"	""	""	""	""	"ShriKant Singh"	""	""	""	""	"Santosh Kumar"	""	""	""	""	"Anil Kumar Sinha"	""	""	""	""	""	""	""	"Kavi Kumar"	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"181A"	""	"1"	""	""	""	"0"	""	""	""	""	""	"139"	""	""	""	""	"29"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"528"	"182"	""	"2"	""	""	""	"3"	""	""	""	""	""	"290"	""	""	""	""	"61"	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"183"	""	"0"	""	""	""	"0"	""	""	""	""	""	"270"	""	""	""	""	"97"	""	""	""	"15"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"530"	"183A"	""	"2"	""	""	""	"1"	""	""	""	""	""	"116"	""	""	""	""	"31"	""	""	""	"12"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"184"	""	"2"	""	""	""	"4"	""	""	""	""	""	"297"	""	""	""	""	"65"	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"532"	"184A"	""	"4"	""	""	""	"1"	""	""	""	""	""	"262"	""	""	""	""	"24"	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"533"	"185"	""	"2"	""	""	""	"1"	""	""	""	""	""	"285"	""	""	""	""	"35"	""	""	""	"20"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"534"	"185A"	""	"0"	""	""	""	"0"	""	""	""	""	""	"186"	""	""	""	""	"23"	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"535"	"186"	""	"1"	""	""	""	"1"	""	""	""	""	""	"340"	""	""	""	""	"26"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"536"	"187"	""	"3"	""	""	""	"1"	""	""	""	""	""	"215"	""	""	""	""	"107"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"537"	"187A"	""	"2"	""	""	""	"0"	""	""	""	""	""	"167"	""	""	""	""	"57"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"538"	"188"	""	"3"	""	""	""	"6"	""	""	""	""	""	"246"	""	""	""	""	"58"	""	""	""	"19"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"539"	"188A"	""	"0"	""	""	""	"1"	""	""	""	""	""	"166"	""	""	""	""	"25"	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"540"	"189"	""	"2"	""	""	""	"2"	""	""	""	""	""	"155"	""	""	""	""	"76"	""	""	""	"17"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"541"	"Total"	""	"24"	""	""	""	"21"	""	""	""	""	""	"3134"	""	""	""	""	"714"	""	""	""	"146"	""	""	""	""	""	"9"	""	""	""	""	""	"13"	""	""	""	""	"20"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	""	""	""	""	"14"	""	""	""	""	"13"	""	""	""	""	""	""	""	"39"	""	""	""	""	""	"4166"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4166"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	"Till last round"	""	"-995"	""	""	""	"-995"	""	""	""	""	""	"-67064"	""	""	""	""	"-16590"	""	""	""	"-5228"	""	""	""	""	""	"-352"	""	""	""	""	""	"-276"	""	""	""	""	"-300"	""	""	""	""	"-649"	""	""	""	""	"-274"	""	""	""	""	""	""	""	"-1934"	""	""	""	""	"-336"	""	""	""	""	""	""	""	"-790"	""	""	""	""	""	"-95783"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"-95783"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"543"	"Grand Total"	""	"1019"	""	""	""	"1016"	""	""	""	""	""	"70198"	""	""	""	""	"17304"	""	""	""	"5374"	""	""	""	""	""	"361"	""	""	""	""	""	"289"	""	""	""	""	"320"	""	""	""	""	"656"	""	""	""	""	"286"	""	""	""	""	""	""	""	"1948"	""	""	""	""	"349"	""	""	""	""	""	""	""	"829"	""	""	""	""	""	"99949"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"99949"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"544"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"545"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"546"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"547"	"( Signature & Seal)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"548"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 188 - PATNA WEST ASSEMBLY CONSTITUNECY
ROUND-24
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"549"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"550"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"551"	"Serial no. of polling station"	""	"Anita Kumari"	""	""	""	"Ashok
Kumar Yadav"	""	""	""	""	""	"Navin
Kishor Pd. Sinha"	""	""	""	""	"Rajesh
Kumar Sinha"	""	""	""	"Satyanand Sharma"	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	"Shila Devi"	""	""	""	""	""	"ShriKant Singh"	""	""	""	""	"Santosh Kumar"	""	""	""	""	"Anil Kumar Sinha"	""	""	""	""	""	""	"Kavi Kumar"	""	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"552"	"189A"	""	"0"	""	""	""	"2"	""	""	""	""	""	"184"	""	""	""	""	"29"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"553"	"190"	""	"2"	""	""	""	"0"	""	""	""	""	""	"221"	""	""	""	""	"23"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
