"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                          250546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                                   198-Ara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"242"	"203"	"GANDHI SARVODYA LIBRARY BEGAMPUR ARA"	"13"	"378"	"85"	"9"	"9"	"3"	"3"	"1"	"1"	"1"	"2"	"5"	"13"	"523"	"0"	"523"	"0"
"243"	"204"	"PRIMARY SCHOOL BEGAMPUR ARA(EASTERN PART)"	"13"	"354"	"88"	"5"	"11"	"7"	"5"	"5"	"1"	"4"	"3"	"10"	"5"	"511"	"0"	"511"	"0"
"244"	"205"	"PRIMARY SCHOOL BEGAMPUR(MIDDLE PART)ARA"	"67"	"234"	"86"	"7"	"26"	"0"	"3"	"4"	"4"	"4"	"2"	"0"	"10"	"447"	"0"	"447"	"0"
"245"	"206"	"PRIMARY SCHOOL BEGAMPUR ARA(WESTERN PART)"	"21"	"199"	"278"	"7"	"9"	"3"	"0"	"4"	"5"	"2"	"5"	"3"	"12"	"548"	"0"	"548"	"0"
"246"	"207"	"PRIMARY SCHOOL ABARPUL ARA"	"13"	"96"	"403"	"10"	"98"	"8"	"4"	"1"	"1"	"7"	"7"	"6"	"18"	"672"	"0"	"672"	"0"
"247"	"208"	"SHAHID ABDUL HAMID MEMORIAL HALL(EASTERN PART)ARA"	"0"	"244"	"160"	"1"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"417"	"0"	"417"	"0"
"248"	"209"	"SHAHIS ABDUL HAMID MEMORIAL HALL(WEASTERN PART)ARA"	"11"	"313"	"143"	"3"	"1"	"1"	"3"	"5"	"0"	"0"	"0"	"1"	"4"	"485"	"0"	"485"	"0"
"249"	"210"	"PORTABLE BOOTH KHATA NO-1764 KHESRA NO-6123 CHAT"	"29"	"69"	"450"	"10"	"23"	"3"	"1"	"2"	"0"	"1"	"4"	"2"	"9"	"603"	"0"	"603"	"0"
"250"	"211"	"MADRASA AHAMDIYA MILKI MOHLLA ARA"	"32"	"263"	"269"	"2"	"7"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"3"	"582"	"0"	"582"	"0"
"251"	"212"	"JAGJIWAN MEET MARKET ARA"	"11"	"15"	"224"	"3"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"264"	"0"	"264"	"0"
"252"	"212A"	"JAGJIWAN MEET MARKET ARA (E)"	"12"	"17"	"305"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"342"	"0"	"342"	"0"
"253"	"213"	"A.N.ROYAL AKADMI ARA(EASTERN PART)"	"11"	"263"	"438"	"2"	"21"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"740"	"0"	"740"	"0"
"254"	"214"	"A.N.ROYAL AKADAMI ARA(WESTREN PART)"	"10"	"148"	"335"	"3"	"7"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"508"	"0"	"508"	"0"
"255"	"215"	"MODAL INSTITUTE ARA(EASTERN PART)"	"10"	"341"	"33"	"1"	"11"	"0"	"1"	"3"	"1"	"0"	"0"	"5"	"4"	"410"	"0"	"410"	"0"
"256"	"216"	"MODAL INSITITUTE ARA(WESTREN PART)"	"11"	"266"	"35"	"2"	"24"	"2"	"2"	"0"	"2"	"0"	"2"	"6"	"1"	"353"	"0"	"353"	"0"
"257"	"217"	"MIDDLE SCHOOL MIRGANJ ARA"	"9"	"356"	"73"	"0"	"16"	"5"	"3"	"4"	"1"	"0"	"0"	"2"	"5"	"474"	"0"	"474"	"0"
"258"	"218"	"PRIMARY SCHOOL SINGHIKALA ARA(SOUTHERN PART)"	"12"	"157"	"81"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"260"	"0"	"260"	"0"
"259"	"218A"	"PRIMARY SCHOOL SINGHIKALA ARA(NORTH PART)"	"6"	"210"	"180"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"4"	"5"	"412"	"0"	"412"	"0"
"260"	"219"	"PRIMARY SCHOOL SINGHIKALA ARA(MIDDLE PART)"	"45"	"139"	"185"	"11"	"4"	"2"	"1"	"4"	"2"	"3"	"0"	"0"	"3"	"399"	"0"	"399"	"0"
"261"	"220"	"PRIMARY SCHOOL GAUSGANJ ARA(NORTHERN PART)"	"22"	"283"	"131"	"3"	"6"	"2"	"4"	"1"	"1"	"2"	"1"	"3"	"3"	"462"	"0"	"462"	"0"
"262"	"221"	"PRIMARY SCHOOL GOUS GANJ ARA(SOUTHERN PART)"	"103"	"235"	"29"	"32"	"12"	"3"	"0"	"0"	"0"	"7"	"0"	"2"	"5"	"428"	"0"	"428"	"0"
"263"	"222"	"MONAKO KUNWAR PRIMARY SCHOOL BHALUHIPUR ARA(S)"	"7"	"388"	"70"	"6"	"19"	"4"	"2"	"6"	"0"	"0"	"1"	"4"	"2"	"509"	"0"	"509"	"0"
"264"	"222A"	"MONAKO KUNWAR PRIMARY SCHOOL BHALUHIPUR ARA(N)"	"7"	"192"	"51"	"3"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"5"	"267"	"0"	"267"	"0"
"265"	"223"	"PRIMARY SCHOOL BHALUHIPUR ARA"	"11"	"163"	"213"	"8"	"3"	"6"	"0"	"4"	"1"	"1"	"3"	"0"	"7"	"420"	"0"	"420"	"0"
"266"	"224"	"PANCHAYAT DALAN BHALUHIPUR ARA(N)"	"2"	"104"	"442"	"0"	"4"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"557"	"0"	"557"	"0"
"267"	"224A"	"PANCHAYAT DALAN BHALUHIPUR BARAMDA"	"6"	"49"	"224"	"3"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"291"	"0"	"291"	"0"
"268"	"225"	"PRIMARY SCHOOL DHANPURA ARA(EASTERN PART)"	"144"	"176"	"100"	"7"	"23"	"5"	"4"	"4"	"7"	"18"	"6"	"10"	"32"	"536"	"0"	"536"	"0"
"269"	"226"	"PRIMARY SCHOOL DHANPURA ARA(MIDDLE PART)"	"34"	"68"	"43"	"5"	"35"	"3"	"8"	"8"	"3"	"3"	"2"	"1"	"6"	"219"	"0"	"219"	"0"
"270"	"227"	"PRIMARY SCHOOL DHANPURA ARA(WESTREN PART)"	"60"	"116"	"436"	"13"	"15"	"0"	"5"	"3"	"7"	"4"	"14"	"4"	"19"	"696"	"0"	"696"	"0"
"271"	"228"	"MIDDLE SCHOOL DHARHARA ARA(EASTERN PART)"	"11"	"86"	"134"	"3"	"94"	"4"	"3"	"8"	"1"	"2"	"2"	"3"	"4"	"355"	"0"	"355"	"0"
"272"	"228A"	"MIDDLE SCHOOL DHARHARA ARA(MIDDLE PART)"	"23"	"112"	"176"	"8"	"56"	"1"	"1"	"2"	"1"	"2"	"3"	"0"	"2"	"387"	"0"	"387"	"0"
"273"	"229"	"MIDDLE SCHOOL DHARHARA ARA(WESTERN PART)"	"38"	"320"	"93"	"7"	"16"	"2"	"1"	"2"	"1"	"3"	"1"	"3"	"3"	"490"	"0"	"490"	"0"
"274"	"229A"	"MIDDLE SCHOOL DHARHARA ARA(MIDDLE PART)"	"10"	"90"	"80"	"2"	"186"	"2"	"6"	"5"	"4"	"4"	"1"	"1"	"5"	"396"	"0"	"396"	"0"
"275"	"230"	"SAMUDAYIK BHAWAN SRITOLA ARA"	"211"	"27"	"68"	"6"	"215"	"3"	"4"	"14"	"15"	"20"	"3"	"11"	"40"	"637"	"0"	"637"	"0"
"276"	"231"	"PRIMARY SCHOOL SHIVPUR ARA"	"4"	"465"	"13"	"1"	"8"	"1"	"0"	"3"	"1"	"0"	"1"	"3"	"1"	"501"	"0"	"501"	"0"
"277"	"232"	"LOK NIRMAN PRAMANDAL OFFICE ARA"	"3"	"137"	"30"	"0"	"14"	"0"	"3"	"2"	"1"	"3"	"1"	"0"	"0"	"194"	"0"	"194"	"0"
"278"	"233"	"HITNARAYAN KSHATRIY HIGH SCHOOL ARA"	"5"	"287"	"51"	"2"	"33"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"385"	"0"	"385"	"0"
"279"	"234"	"MIDDLE SCHOOL ANIAT ARA(NORTHREN PART)"	"13"	"273"	"130"	"4"	"20"	"3"	"3"	"4"	"3"	"4"	"1"	"7"	"6"	"471"	"0"	"471"	"0"
"280"	"235"	"BAZAR SAMITI OFFICE ARA(EASTERN PART)"	"16"	"270"	"33"	"13"	"48"	"3"	"1"	"5"	"1"	"1"	"0"	"1"	"0"	"392"	"0"	"392"	"0"
"281"	"236"	"BAZAR SAMITI OFFICE ARA(MIDDLE PART)"	"2"	"249"	"41"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"306"	"0"	"306"	"0"
"282"	"236A"	"BAZAR SAMITI OFFICE ARA OFFICE BUILDING"	"4"	"131"	"14"	"1"	"8"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"163"	"0"	"163"	"0"
"283"	"237"	"BAZAR SAMITI OFFICE ARA(WESTREN PART)"	"1"	"268"	"24"	"0"	"14"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"311"	"0"	"311"	"0"
"284"	"238"	"MIDDLE SCHOOL ANAIT ARA(SOUTHERN PART)"	"13"	"105"	"240"	"1"	"15"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"285"	"239"	"BEYAR HOUSE PURBI GATE MILKI ANAIT ARA"	"13"	"68"	"265"	"5"	"24"	"0"	"1"	"5"	"0"	"5"	"4"	"2"	"7"	"399"	"0"	"399"	"0"
"286"	"240"	"ANAIT DHARAMSALA ARA(NORTHERN PART)"	"3"	"107"	"97"	"3"	"15"	"2"	"0"	"1"	"0"	"0"	"1"	"6"	"2"	"237"	"0"	"237"	"0"
"287"	"240A"	"ANAIT DHARAMSALA ARA(BARAMADA)"	"3"	"133"	"244"	"5"	"29"	"3"	"1"	"3"	"2"	"2"	"0"	"2"	"2"	"429"	"0"	"429"	"0"
"288"	"241"	"ANAIT DHARAMSALA ARA(SOUTHERN PART)"	"13"	"340"	"86"	"3"	"28"	"3"	"1"	"3"	"2"	"2"	"8"	"4"	"5"	"498"	"0"	"498"	"0"
"289"	"242"	"KANYA PRIMARY SCHOOL ANAIT ARA"	"20"	"298"	"36"	"14"	"65"	"4"	"2"	"9"	"4"	"2"	"3"	"6"	"10"	"473"	"0"	"473"	"0"
"290"	"243"	"PRIMARY SCHOOL ANAIT ARA(E)"	"11"	"214"	"54"	"1"	"26"	"0"	"0"	"3"	"2"	"0"	"1"	"1"	"1"	"314"	"0"	"314"	"0"
"291"	"243A"	"PRIMARY SCHOOL ANAIT ARA(W)"	"39"	"109"	"84"	"4"	"22"	"2"	"2"	"3"	"0"	"1"	"0"	"3"	"0"	"269"	"0"	"269"	"0"
"292"	"244"	"BYAPAR MANDAL UDWANTNAGAR ANAIT(NORTHERN PART)ARA"	"10"	"183"	"27"	"3"	"33"	"2"	"0"	"8"	"5"	"2"	"4"	"1"	"3"	"281"	"0"	"281"	"0"
"293"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"294"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"295"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"296"	"244A"	"BYAPAR MANDAL UDWANTNAGAR ANAIT OFFICE BUILDING"	"1"	"137"	"19"	"0"	"19"	"2"	"0"	"9"	"1"	"1"	"1"	"1"	"0"	"191"	"0"	"191"	"0"
"297"	"245"	"BYAPAR MANDAL UDWANTNAGAR ANAIT (MIDDLE PART)ARA"	"26"	"176"	"72"	"4"	"24"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"308"	"0"	"308"	"0"
"298"	"246"	"BYAPAR MANDAL UDWANTNAGAR ANAIT(SOUTHERN PART)"	"27"	"140"	"205"	"7"	"33"	"1"	"9"	"2"	"1"	"2"	"2"	"3"	"11"	"443"	"0"	"443"	"0"
"299"	"247"	"NALKUP AWAR PRAMANDAL OFFICE ARA(EASTERN PART)"	"7"	"187"	"314"	"36"	"62"	"4"	"2"	"2"	"4"	"1"	"5"	"1"	"4"	"629"	"0"	"629"	"0"
"300"	"248"	"NALKUP AWAR PARMANDAL OFFICE ARA(WESTERN PART)"	"115"	"62"	"46"	"17"	"191"	"3"	"0"	"2"	"3"	"7"	"4"	"0"	"8"	"458"	"0"	"458"	"0"
"301"	""	"Total No. of Votes recorded at Polling Stations"	"6642"	"53489"	"38336"	"1336"	"7845"	"736"	"493"	"793"	"434"	"534"	"597"	"604"	"1505"	"113344"	"0"	"113344"	"0"
"302"	""	"No. of votes recorded on postal ballot papers"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"303"	""	"Total votes polled"	"6642"	"53489"	"38337"	"1336"	"7845"	"736"	"493"	"793"	"434"	"534"	"597"	"604"	"1505"	"113344"	"0"	"113344"	"0"
"304"	"Place                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
